MarketingContent
contentName,contentType,url,behavior,uiDisplable,managingTool,location,marketingText,field1,field2,delete
ContactUsCenter,Text,,0,,,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">Contact Us</div> <div class=""content_box""> <div class=""header_top"">Contact Information</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""info_section""> <p>We're here to help.</p> <br> <p>For support with your order, write to us at support@[storeName].com.</p> <br> <p>If you have any questions about [storeName], or would like to provide feedback about our store or website, please contact us at questions@[storeName].com.</p> </div> </div> </div> <div class=""clear_float""></div> </div>",,,0
ReturnPolicyCenter,Text,,0,,,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">Return Policy</div> <div class=""content_box""> <div class=""header_top"">Our Policy</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""info_section""> <p>If for any reason you are not completely satisfied with your order, simply contact customer service for instructions on how to return your order for a full refund. If and when you are ready to place another order, we will be happy to serve you again.</p> <div class=""item_spacer_50px""></div> <div class=""item_spacer_50px""></div> </div> </div> </div> <div class=""clear_float""></div> </div>",,,0
PrivacyContentVersion1.0,Text,,0,,,,"<div class=""container_static_full_width container_margin_5px""><div class=""static_page_content""><p class=""error_msg"" style=""font-size:12px"">The following text is provided as a sample only. Do not use this text within your custom store. Replace this text with the correct content for your store. Your organization is responsible for ensuring that your legal counsel completes any required reviews of your store pages and privacy policy.</p><div class=""page_header"" role=""heading"" aria-level=""1"">Privacy Policy</div><p class=""error_msg"">[Replace the following sample text with the privacy policy for your site.]</p><div class=""content_box""><div class=""header_top"">Personal Information</div><div class=""item_spacer_5px""></div><div class=""item_spacer_10px""></div><div class=""info_section""><p>[storeName] is committed to protecting and respecting your privacy. You can visit [storeName] on the Web without telling us who you are or revealing any information about yourself. When necessary, for shipping and billing purposes, your personal information is stored on a secure server. Your personal information will never be sold to a third party or used to contact you without your consent.</p><br><p>If you choose to give us personal information through the Internet that we may need to correspond with you or to process an order, it is our intent to let you know how we will use this information. You can contact us at any time to request a report of the personal information that we have collected and stored. If you request it, we will erase your personal information or stop using this information to contact you.</p><div class=""privacyCheckbox""><br></div></div><div class=""header_top"">Shopping Behavior Tracking</div><div class=""item_spacer_5px""></div><div class=""item_spacer_10px""></div><div class=""info_section""><p>To provide you and other shoppers with more personalized and relevant shopping experiences [storeName] can track and collect information about how you interact with our site. [storeName] uses cookies to track and collect information.</p><br><p>The information that is collected by [storeName] is used internally by authorize [storeName] employees for three main purposes.</p><br><p>First, we collect information to determine how to improve our site by seeing which areas, features and products are most popular.</p><br><p>Second, we collect information to personalize the site for our customers. For example, in the future, we may recommend products, promotional offers, or other features that we think you may like based on what you have purchased or viewed in the past.</p><br><p>Third, we keep track of the domains from which people visit us. We analyze this data for trends and statistics, and then discard the source information.</p><br><p>If you grant [storeName] permission to collect information about your shopping activities with our site, you can still change your decision at any time from your My Account page. If you select to no longer be tracked when shopping our site, any data that we previously collected about your interactions with our site is erased. Your account details, order history, and items added to your wish lists or shopping cart will not be erased.</p><div class=""marketingConsentCheckbox""><br></div></div></div></div><div class=""clear_float""></div></div>",,,0
CorporateInfoCenter,Text,,0,,,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">About Us</div> <div class=""content_box""> <div class=""header_top"">Our Story</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""info_section""> <p>Established in 1957, [storeName] began as a small goods and services shop in New York City. Today, there are over 800 [storeName] department stores worldwide in 15 countries. [storeName] employs over 125,000 people.</p> <br> <p>What began with a commitment to high quality products at fair prices continues through to this day on [storeName].com, featuring the same brands and styles you've come to rely on in our brick and mortar stores, available at your fingertips 24 hours a day.</p> <br> <p>Take a look around, we hope you like what you see!</p> </div> <div class=""header"">Our Mission</div> <div class=""info_section""> <p>Our mission is to provide our customers with the best and most convenient online shopping experience possible. We are committed to offering products that are shipped in easy to open and sustainable packaging and accept all major credit cards.</p> </div> <div class=""header"">Corporate Responsibility</div> <div class=""info_section""> <p>[storeName] supports healthy living in every aspect of our business. From our ""safer communities"" initiative to our environmental sustainability project, we take pride in our responsibility to our shoppers, their diversity, their communities and their health and safety. </p> </div> </div> </div> <div class=""clear_float""></div> </div>",,,0
CorporateContactUsCenter,Text,,0,,,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">Contact [storeName] Corporate</div> <div class=""content_box""> <div class=""header_top"">[storeName] Head Office</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""info_section""> <p>We are personally committed to providing you with superb customer service. If you would like to contact us with a question or comment, please choose the most appropriate corporate division below for a prompt response:</p> </div> <div class=""header"">Human Resources</div> <div class=""info_section""> <p>Our Human Resource office is available Monday to Friday, 8am-5pm EST. You may contact us by email anytime at careers@[storeName].com</p> </div> <div class=""header"">Consumer Relations</div> <div class=""info_section""> <p>Our Consumer Relations office is available Wednesday to Friday, 8am-5pm EST. You may contact us by email anytime at relations@[storeName].com</p> </div> <div class=""header"">Corporate Responsibility</div> <div class=""info_section""> <p>For more information on [storeName] Corporate Responsibility, please visit the About Us page or send us a message at info@[storeName].com</p> </div> <div class=""item_spacer_50px""></div> <div class=""info_section""> <p>[storeName] Corporate head office is located at:</p> <p>Street123</p> <p>Toronto Ontario</p> <p>Canada M3C-1L1</p> </div> </div> </div> <div class=""clear_float""></div> </div>",,,0
EmailHeader,Text,,0,,,,,,,0
EmailFooter,Text,,0,,,,"<p style=""margin: 0; line-height: 14px;"">Our mission is to provide our customers with the best and most convenient online shopping experience possible. We are committed to offering products that are shipped in easy to open and sustainable packaging.</p><p style=""margin: 0; line-height: 14px;"">&nbsp;</p><p style=""margin: 0; line-height: 14px;"">Please see our <a style=""color: #0081AF; text-decoration: none;""class=""link"" href=""[LINK1]"">Privacy Policy</a> for more information</p><p style=""margin: 0; line-height: 14px;"">&nbsp;<p style=""margin: 0; line-height: 14px;""><a style=""color: #0081AF; text-decoration: none;"" class=""link""href=""[LINK2]"">www.[STORE_NAME].com</a> | Copyright [STORE_NAME], NY. 2012.</p>",,,0
PasswordChangeNotifyCenter,Text,,0,,,,"<p> Dear [userName],<br /><br /><br />We have received your request to have your password emailed to you. <br /><br />Your password is: [password]<br /><br />Please remember that your password is case sensitive.<br /><br /><br />Thanks,<br />The [storeName] team</p><br />",,,0
AccountActivationCenter,Text,,0,,,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Dear User,</h2>               <p style=""line-height: 14px; margin: 0;"">Your account has been activated now.</p>               <p style=""line-height: 14px; margin: 0;"">Click below to login and continue shopping.               <p style=""margin: 15px 0; line-height: 14px; overflow: hidden; width: 558px; word-wrap: break-word;"">                <a style=""color: #0081AF; text-decoration: underline;"" class=""link"" href=""[link]"">[link]</a>               </p>               <p style=""line-height: 14px; margin: 0;"">Thanks,</p>               <p style=""line-height: 14px; margin: 0;"">The [storeName] team</p>",,,0
OrderCancelNotifyRow1,Text,,0,,,,"<p style=""margin:0; padding:0; line-height:14px; color:#404040; font-size:12px; padding-bottom:14px;"">Thank you for ordering from [storeName]. Your order, number [orderNumber], cannot be completed because of a problem authorizing your payment. To purchase the following items, call us at 1-800-555-1234. Thanks again for shopping at [storeName].</p><br />",,,0
OrderShipNotifyRow1,Text,,0,,,,"<p style=""margin:0; padding:0; line-height:14px; color:#404040; font-size:12px; padding-bottom:14px;"">Thank you for ordering from [storeName]. We received payment authorization for your order, number [orderNumber]. Use the following shipping tracking number to track this package: <strong>[trackingNumber]</strong>. If you are shipping items to other shipping addresses or using alternate shipping methods, you will receive a separate e-mail with those shipping details. If you have any questions or concerns about your order, you can contact us by e-mail at orders@[storeName].com or by phone at 1-800-555-1234. Thanks again for shopping at [storeName].</p><br />",,,0
PasswordResetNotifyAdminContent,Text,,0,,,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Dear [userName],</h2>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">We have received your request to have your password reset. </p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;""><strong>Your validation code is: </strong>[validationCode]</p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;""><strong>Copy the validation code and enter it on the following page to reset your password: </strong>[resetPasswordFormURL]</p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Thanks,</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">The [storeName] team</p><br /><br />",,,0
"Buy One, Get One Free",Text,DiscountDetailsDisplayView?code=#promoName#&storeId=#storeId#&catalogId=#catalogId#,0,,,images/catalog/en_US/BuyOneGetOneFree_WineGlasses.jpg,"Buy One, Get One Free offer on wine glasses",,,0
Top Selling Item,Text,ProductDisplay?partNumber=TAPL-01&storeId=#storeId#,0,,,images/catalog/en_US/TopSellingItem.jpg,The current top-selling online item,,,0
Furniture Category Discount,Text,DiscountDetailsDisplayView?code=#promoName#&storeId=#storeId#&catalogId=#catalogId#,0,,,images/catalog/en_US/CategoryDiscount_Furniture.jpg,20% off all items in the Furniture category,,,0
Free Ground Shipping,Text,DiscountDetailsDisplayView?code=#promoName#&storeId=#storeId#&catalogId=#catalogId#,0,,,images/catalog/en_US/ShippingDiscount_FreeGroundShipping.jpg,Free Ground Shipping,,,0
Set Personalized Catalog,Text,AuroraStorefrontAssetStore Sales Catalog,0,,,, ,,,0
RecommendedCatEntries,Text,,0,,,,Recommended,,,0
HomePageESpotTitle,Text,,0,,,,New Summer Arrivals In...,,,0
B2BHomePageESpotCategoryTitle,Text,,0,,,,Featured Categories,,,0
B2BHomePageESpotCatalogEntryTitle,Text,,0,,,,Best Sellers,,,0
HomeHero1,Text,,0,,,,"<link href=""[imagePath]rwdWebAssets/homePageMainESpot/styles.css"" rel=""stylesheet""/> <div id=""homeHero1"" class=""homeHero"">  <div id=""homeHero1-background"" class=""homeHero-background"" data-carousel-background></div>  <a id=""homeHero1-pageButton"" class=""homeHero-pageButton"" alt=""Colors of Summer"" data-carousel-pageButton>   <img src=""[imagePath]rwdWebAssets/homePageMainESpot/bkgd-girl.jpg""/>  </a>  <div class=""imageContainer"">   <!--[if !IE 8]><!--><div></div><!--<![endif]-->   <!--[if IE 8]><img src=""[imagePath]rwdWebAssets/homePageMainESpot/girl.png""/><![endif]-->  </div>  <div class=""textContainer"">   <h3><span class=""m"">COLORS</span><span class=""s""> OF </span><span class=""l"">SUMMER</span></h3>   <a class=""toggle"" href=""#"" data-toggle=""contentCarouselWidget[widgetSuffix]"">Show Details</a>   <p id=""homeHero1-details"">Vivid hues, relaxed shapes, and fluid fabrics dominate our summer dress collection. Effortless style at unbelievable prices.</p>   <a class=""button"" href=""[fullPathHomeURL]/apparel/women/dresses"">shop now</a>  </div> </div>",,,0
HomeHero2,Text,,0,,,,"<link href=""[imagePath]rwdWebAssets/homePageMainESpot/styles.css"" rel=""stylesheet""/> <div id=""homeHero2"" class=""homeHero"">  <div id=""homeHero2-background"" class=""homeHero-background"" data-carousel-background></div>  <a id=""homeHero2-pageButton"" class=""homeHero-pageButton"" alt=""Luxury Lightweight Jackets"" data-carousel-pageButton>   <img src=""[imagePath]rwdWebAssets/homePageMainESpot/bkgd-rob.jpg""/>  </a>  <div class=""imageContainer"">   <!--[if !IE 8]><!--><div></div><!--<![endif]-->   <!--[if IE 8]><img src=""[imagePath]rwdWebAssets/homePageMainESpot/rob.png""/><![endif]-->  </div>  <div class=""textContainer"">   <h3><span class=""m"">LUXURY</span><span class=""s""> LIGHTWEIGHT </span><span class=""l"">JACKETS</span></h3>   <a class=""toggle"" href=""#"" data-toggle=""contentCarouselWidget[widgetSuffix]"">Show Details</a>   <p id=""homeHero2-details"">Look sharp and stay cool in our new unstructured sport jackets for summer. Remarkably comfortable and incredibly versatile, these light wool jackets combine formal and casual style into one slick look.</p>   <a class=""button"" href=""[fullPathHomeURL]/apparel/men/jackets"">shop now</a>  </div> </div>",,,0
HomeHero3,Text,,0,,,,"<link href=""[imagePath]rwdWebAssets/homePageMainESpot/styles.css"" rel=""stylesheet""/> <div id=""homeHero3"" class=""homeHero"">  <div id=""homeHero3-background"" class=""homeHero-background"" data-carousel-background></div>  <a id=""homeHero3-pageButton"" class=""homeHero-pageButton"" alt=""Simple, Classic Dresses"" data-carousel-pageButton>   <img src=""[imagePath]rwdWebAssets/homePageMainESpot/bkgd-teen.jpg""/>  </a>  <div class=""imageContainer"">   <!--[if !IE 8]><!--><div></div><!--<![endif]-->   <!--[if IE 8]><img src=""[imagePath]rwdWebAssets/homePageMainESpot/teen.png""/><![endif]-->  </div>  <div class=""textContainer"">   <h3><span class=""s"">SIMPLE, </span><span class=""m"">CLASSIC </span><span class=""l"">DRESSES</span></h3>   <a class=""toggle"" href=""#"" data-toggle=""contentCarouselWidget[widgetSuffix]"">Show Details</a>   <p id=""homeHero3-details"">Flirty florals, playful prints, sophisticated stripes, and eye-popping polka dots. Whatever strikes your fancy, browse our teen dress collection and discover your new favorite.</p>   <a class=""button"" href=""[fullPathHomeURL]/apparel/girls/skirts"">shop now</a>  </div> </div>",,,0
HomeShoeComfortAdContent,Text,,0,,,,"<link rel=""stylesheet"" href=""[imagePath]rwdWebAssets/homePageEspot_Left/styles.css"" /> <div class=""col4"" id=""homePageEspot_Left"" role=""region"" aria-label=""home page Espot womens shoes"">    <div class=""homeESpotContainer"" id=""homePageEspot_Left_Slot"">       <div class=""textContainer"">          <div class=""title"">                         Flat-out Comfort                       </div>          <div class=""bodyText"">                         Beautifully designed, soft leather shoes with an elasticized edge for perfect fit. Lightweight and durable, these flats will provide all-day comfort with their cushioned insole and soft lining. Multi-colored accent lace combinations and patterns are available as a special order.                       </div>          <div class=""button""><a alt="""" role=""link"" aria-label=""Shop now womens shoes"" href=""[fullPathHomeURL]/apparel/women/shoes"">shop now</a></div>       </div>       <div class=""imageContainer"">       <img alt="""" src=""[imagePath]rwdWebAssets/homePageEspot_Left/eyeCandy.jpg"" />                     </div>    </div> </div> ",,,0
HomePolosDiscountContent,Text,,0,,,,"<link rel=""stylesheet"" href=""[imagePath]rwdWebAssets/homePageEspot_Middle/styles.css"" /> <div class=""col4"" id=""homePageEspot_Middle"" role=""region"" aria-label=""home page Espot mens shirts"">    <div class=""homeESpotContainer"" id=""homePageEspot_Middle_Slot"">       <div class=""imageContainer"">                       <img alt="""" src=""[imagePath]rwdWebAssets/homePageEspot_Middle/mens.jpg"">                     </div>       <div class=""textContainer"">          <div class=""title"">                         50% Off Polos                       </div>          <div class=""bodyText"">                         Select from our collection of modern, easy-to-coordinate polo shirts to create a smart but casual look. Available in a kaleidoscope of colors, with superior shape retention and wrinkle resistance.   Free shipping on purchases over $60 before taxes.                       </div>          <div class=""button""><a alt="""" role=""link"" aria-label=""Shop now mens shirts"" href=""[fullPathHomeURL]/apparel/men/shirts"">shop now</a></div>       </div>    </div> </div>",,,0
HomeKidsApparelAdContent,Text,,0,,,,"<link rel=""stylesheet"" href=""[imagePath]rwdWebAssets/homePageEspot_Right/styles.css"" /> <div class=""col4"" id=""homePageEspot_Right"" role=""region"" aria-label=""home page Espot kids"">    <div class=""homeESpotContainer"" id=""homePageEspot_Right_Slot"">       <div class=""textContainer"">          <div class=""title"">                       Kids' Stuff                      </div>          <div class=""bodyText"">             Summer style is all about fun prints, bright colors, comfort, and durability. Stock up on our easy-to-wear and affordable fashions for kids. Spend $100* or more, and earn a $25 gift certificate.                                    <div class=""finePrint"">                         *Before taxes. Gift certificates are redeemable on your next visit.                       </div>          </div>          <div class=""button""><a alt="""" role=""link"" aria-label=""Shop now girls category"" href=""[fullPathHomeURL]/apparel/girls"">shop now</a></div>       </div>       <div class=""imageContainer"">                     <img alt="""" id=""kids1"" src=""[imagePath]rwdWebAssets/homePageEspot_Right/kids1.jpg"">                     <img alt="""" id=""kids2"" src=""[imagePath]rwdWebAssets/homePageEspot_Right/kids2.png"">                   </div>    </div> </div>",,,0
HomeBrightIdeasAdContent,Text,,0,,,,"<link rel=""stylesheet"" href=""[imagePath]rwdWebAssets/homePageEspot1/styles.css"" /> <div class=""col8"" id=""homePageEspot1"" role=""region"" aria-label=""home page Espot home furnishing"">    <div class=""homeESpotContainer"" id=""homePageEspot1_Slot"">       <div class=""textContainer"">          <div class=""title"">                     Bright Ideas                   </div>          <div class=""bodyText"">                     Bring summer into your space with vibrant colors, patterns, and shapes, inspired by the earth and sky.  Brighten every corner of your home with our eclectic collection of traditional and modern home accents.                   </div>          <div class=""button""><a alt="""" role=""link"" aria-label=""Shop now home furnishing"" href=""[fullPathHomeURL]/home---furnishing"">shop now</a></div>       </div>       <div class=""imageContainer"">                      <img alt="""" id=""accent1"" src=""[imagePath]rwdWebAssets/homePageEspot1/accent1.png"">                      <img alt="""" id=""accent2"" src=""[imagePath]rwdWebAssets/homePageEspot1/accent2.png"">    <div id=""accent3"" class=""container"">    <div class=""accent3"">                                 <!--[if IE 8]>            <img alt="""" id=""accent3"" src=""[imagePath]rwdWebAssets/homePageEspot1/accent3.png"">         <![endif]-->          <!--[if gte IE 9]><!-->                                                        <div></div>                                 <!--<![endif]-->                                                               </div>   </div>     <img alt="""" id=""accent4"" src=""[imagePath]rwdWebAssets/homePageEspot1/accent4.png"">                   </div>    </div> </div> ",,,0
HomeHandbagsAdContent,Text,,0,,,,"<link rel=""stylesheet"" href=""[imagePath]rwdWebAssets/homePageEspot2/styles.css"" /> <div class=""col8"" id=""homePageEspot2"" role=""region"" aria-label=""home Page Espot handbags"">    <div class=""homeESpotContainer"" id=""homePageEspot2_Slot"">       <div class=""textContainer"">          <div class=""title"">                     Handbags                   </div>          <div class=""bodyText"">                     Indulge in luxurious leather and sumptuous suede handbags, in colors that will take your breath away. From oversized totes to elegant clutches, you'll find your perfect match at a perfect price in our handcrafted designer collection.                    </div>          <div class=""button""><a alt="""" role=""link"" aria-label=""Shop now womens handbags"" href=""[fullPathHomeURL]/apparel/women/handbags"">shop now</a></div>       </div>       <div class=""imageContainer"">                   <img alt="""" src=""[imagePath]rwdWebAssets/homePageEspot2/bags.jpg"">                 </div>    </div> </div>",,,0
WomenLandingPage_Atct_brand1,File,SearchDisplay?manufacturer=Gusso&storeId=#storeId#,0,,,,Brand1,,,0
WomenLandingPage_Atct_brand2,File,SearchDisplay?manufacturer=Luigi+Valenti&storeId=#storeId#,0,,,,brand2,,,0
WomenLandingPage_Atct_brand3,File,SearchDisplay?manufacturer=Versatil&storeId=#storeId#,0,,,,brand3,,,0
WomenLandingPage_Atct_brand4,File,SearchDisplay?manufacturer=Albini&storeId=#storeId#,0,,,,brand4,,,0
WomenLandingPage_Atct_brand5,File,SearchDisplay?manufacturer=Hermitage&storeId=#storeId#,0,,,,brand5,,,0
HeaderESpot15OffPurchaseAd,File,,0,,,,Save 15% Off Your Entire Purchase,,,0
HeaderESpotFreeShippingSpecial,File,,0,,,,Free Shipping,,,0
HeaderLeftAdvertisement,Text,,0,,,,<div style="padding:10px 0;background-color:#f5f5f5;color:#C64200;font-size:15px;text-align:center;"><b>SAVE 20%</b> on all New Arrivals</div>,,,0
HeaderRightAdvertisement,Text,,0,,,,<div style="padding:10px 0;background-color:#f5f5f5;color:#707070;font-size:15px;text-align:center;"><b>RECEIVE 15% OFF</b> Your Entire Purchase</div>,,,0
DressesHeroImage,Text,,0,,,,<link href="[imagePath]rwdWebAssets/saveOnDresses/styles.css" rel="stylesheet"/>      <div id="saveOnDresses">       <div id="saveOnDresses-bkgrd"><div></div></div>       <div id="saveOnDresses-bkgrd-girl1"><div></div></div>       <div id="saveOnDresses-container">        <div id="saveOnDresses-girl1">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/saveOnDresses/girl1.png"></img>         <![endif]-->         <!--[if gte IE 9]><!-->               <div></div>         <!--<![endif]-->        </div>        <div id="saveOnDresses-girl2">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/saveOnDresses/girl2.png"></img>         <![endif]-->         <!--[if gte IE 9]><!-->               <div></div>         <!--<![endif]-->        </div>        <div id="saveOnDresses-girl3">         <div></div>        </div>        <div id="saveOnDresses-text">         <h3>Hot with<br/>Summer Patterns</h3>         <p>25% off<br/>summer patterns</p>        </div>       </div>      </div>,,,0
HeaderHardwareLeftAdvertisement,Text,,0,,,,<div style="padding:10px 0;background-color:#f5f5f5;color:#4d4d4d;font-size:15px;text-align:center;">Order before noon (EST) - get same-day shipping</div>,,,0
HeaderHardwareRightAdvertisement,Text,,0,,,,<div style="padding:10px 0;background-color:#f5f5f5;color:#CA4200;font-size:15px;text-align:center;">Check out our expanded Fasteners category</div>,,,0
HardwareHeroImage,Text,,0,,,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/hardwareLandingPage/styles.css" />      <div id="hardwareHeroBanner" class="container">       <div id="hardwareHeroBannerContents" class="espotCont">        <div id="hardwareHeroBanner-houseImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/house.png">         <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="hardwareHeroBanner-toolsImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/tools.png">         <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="hardwareHeroBanner-screwsImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/screws.png">         <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>        <div id="hardwareHeroBanner-blueprintImg">         <!--[if IE 8]>          <img src="[imagePath]rwdWebAssets/hardwareLandingPage/blueprint.png">         <![endif]-->         <!--[if gte IE 9]><!-->            <div></div>         <!--<![endif]-->        </div>                <div id="hardwareHeroBanner-bannerText" class="bannerText">         <div class="line1">          Your resource         </div>          <div class="line2">          for the <span class="highlight">full range</span>         </div>          <div class="line3">          <span class="highlight"><span class="small">of</span> tools</span>         </div>        </div>        <div class="bannerLine">         Your resource for the full range of tools        </div>              </div>      </div> ,,,0
HomePowerDrillsAdContent,Text,,0,,,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/hardwareLandingPage/styles.css" />      <div id="drillESpotContainer" class="container">       <div id="drillESpot" class="espotCont">        <div id="drillImg">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/hardwareLandingPage/drill.png"></img>         <![endif]-->         <!--[if gte IE 9]><!-->               <div></div>         <!--<![endif]-->        </div>        <div id="drillESpot-bannerText" class="bannerText">          <div class="line1">Don Mills</div>         <div class="line2">Electric Power</div>         <div class="line3">Drills</div>        </div>        <div class="bannerLine">         Don Mills Electric Power Drills        </div>              </div>      </div> ,,,0
HomeDurableFastenersAdContent,Text,,0,,,,<link rel="stylesheet" href="[imagePath]rwdWebAssets/hardwareLandingPage/styles.css" />      <div id="boltsESpotContainer" class="container">       <div id="boltsESpot" class="espotCont">        <div id="boltsImg">         <!--[if IE 8]>            <img src="[imagePath]rwdWebAssets/hardwareLandingPage/bolts.png"></img>         <![endif]-->         <!--[if gte IE 9]><!-->               <div></div>         <!--<![endif]-->        </div>        <div id="boltsESpot-bannerText" class="bannerText">          <div class="line1">          <span class="highlight large">New!</span>Tamper-proof bolts         </div>         <div class="line2">Durable fasteners</div>        </div>        <div class="bannerLine">New! Tamper-proof bolts Durable fasteners</div>       </div>      </div> ,,,0
