LayoutWidgetNVP
LayoutName,AdminName,Name,Value,Sequence
SampleStaticContentLayout,CatalogEntryRecommendationWidget,pageSize,4,0
SampleStaticContentLayout,CatalogEntryRecommendationWidget,displayPreference,1,0
SampleStaticContentLayout,CatalogEntryRecommendationWidget,showFeed,false,0
SampleDepartmentPageLayout,HeaderLeftBannerContentWidget,emsName,HeaderBanner_Content_Left,0
SampleDepartmentPageLayout,HeaderLeftBannerContentWidget,emsType,global,0
SampleDepartmentPageLayout,HeaderLeftBannerContentWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,HeaderLeftBannerContentWidget,displayPreference,1,0
SampleDepartmentPageLayout,HeaderLeftBannerContentWidget,showFeed,false,0
SampleDepartmentPageLayout,HeaderRightBannerContentWidget,emsName,HeaderBanner_Content_Right,0
SampleDepartmentPageLayout,HeaderRightBannerContentWidget,emsType,global,0
SampleDepartmentPageLayout,HeaderRightBannerContentWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,HeaderRightBannerContentWidget,displayPreference,1,0
SampleDepartmentPageLayout,HeaderRightBannerContentWidget,showFeed,false,0
SampleDepartmentPageLayout,CategoryNavigationWidget,showTopCategory,false,0
SampleDepartmentPageLayout,HeroImageWidget,emsType,local,0
SampleDepartmentPageLayout,HeroImageWidget,emsName,Row1_Content,0
SampleDepartmentPageLayout,HeroImageWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,HeroImageWidget,displayPreference,1,0
SampleDepartmentPageLayout,HeroImageWidget,showFeed,false,0
SampleDepartmentPageLayout,PromotionAdWidget,emsType,local,0
SampleDepartmentPageLayout,PromotionAdWidget,emsName,Row2_Content_Left,0
SampleDepartmentPageLayout,PromotionAdWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,PromotionAdWidget,displayPreference,1,0
SampleDepartmentPageLayout,PromotionAdWidget,showFeed,false,0
SampleDepartmentPageLayout,SaleAdWidget,emsType,local,0
SampleDepartmentPageLayout,SaleAdWidget,emsName,Row2_Content_Right,0
SampleDepartmentPageLayout,SaleAdWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,SaleAdWidget,displayPreference,1,0
SampleDepartmentPageLayout,SaleAdWidget,showFeed,false,0
SampleDepartmentPageLayout,CategoryRecommendationWidget,emsType,local,0
SampleDepartmentPageLayout,CategoryRecommendationWidget,emsName,Row3_Categories,0
SampleDepartmentPageLayout,CategoryRecommendationWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,CategoryRecommendationWidget,displayPreference,2,0
SampleDepartmentPageLayout,CategoryRecommendationWidget,showFeed,false,0
SampleDepartmentPageLayout,CatalogEntryWidget,emsType,local,0
SampleDepartmentPageLayout,CatalogEntryWidget,emsName,Row4_CatEntries,0
SampleDepartmentPageLayout,CatalogEntryWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,CatalogEntryWidget,displayPreference,2,0
SampleDepartmentPageLayout,CatalogEntryWidget,showFeed,false,0
SampleDepartmentPageLayout,BestSellerWidget,emsName,BestSellers_CatEntries,0
SampleDepartmentPageLayout,BestSellerWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,BestSellerWidget,displayPreference,2,0
SampleDepartmentPageLayout,BestSellerWidget,showFeed,false,0
SampleDepartmentPageLayout,TopBrowsedWidget,emsName,TopBrowsed_CatEntries,0
SampleDepartmentPageLayout,TopBrowsedWidget,widgetOrientation,horizontal,0
SampleDepartmentPageLayout,TopBrowsedWidget,displayPreference,2,0
SampleDepartmentPageLayout,TopBrowsedWidget,showFeed,false,0
SampleDepartmentPageLayout,CatalogEntryListWidget,pageView,grid,0
SampleDepartmentPageLayout,CatalogEntryListWidget,showCompareBox,false,0
SampleDepartmentPageLayout,FacetNavigationWidget,widgetOrientation,vertical,0
