MarketingElementNVP
activityName,elementName,name,value,sequence,triggerMatch,properties,delete
HeaderESpot  Web activity,2,collateralIdList,HeaderESpotFreeShippingSpecial,2.0,0,,0
HeaderESpot Left Web activity,1,emsId,CatalogBanner_Content_Left|MARKETING,,1,,0
HeaderESpot Left Web activity,2,collateralIdList,HeaderESpot15OffPurchaseAd,1.0,0,,0
HeaderESpot Right Web activity,1,emsId,CatalogBanner_Content_Right|MARKETING,,1,,0
HeaderESpot Right Web activity,2,collateralIdList,HeaderESpotFreeShippingSpecial,1.0,0,,0
DressesProductSuggestion,p21,emsId,DressesProductRight_CatEntries|MARKETING,,1,,0
DressesProductSuggestion,p22,catalogEntryIdList,AuroraWMDRS-3,,0,,0
DressesProductSuggestion,p22,catalogEntryIdList,AuroraWMDRS-7,,0,,0
DressesProductSuggestion,p22,catalogEntryIdList,AuroraWMDRS-21,,0,,0
DressesProductSuggestion,p22,catalogEntryIdList,AuroraWMDRS-29,,0,,0
FastenersRow3_Categories,1,emsId,FastenersRow3_Categories|MARKETING,,1,,0
FastenersRow3_Categories,2,categoryIdList,Bolts,2.0,0,,0
FastenersRow3_Categories,2,categoryIdList,Nuts,3.0,0,,0
FastenersRow3_Categories,2,categoryIdList,Screws,1.0,0,,0
FastenersRow4_CatEntries,p21,emsId,FastenersRow4_CatEntries|MARKETING,,1,,0
FastenersRow4_CatEntries,p22,catalogEntryIdList,FB041_4101,,0,,0
FastenersRow4_CatEntries,p22,catalogEntryIdList,FSC039_3901,,0,,0
FastenersRow4_CatEntries,p22,catalogEntryIdList,FSC039_3902,,0,,0
FastenersRow4_CatEntries,p22,catalogEntryIdList,FSC039_3910,,0,,0
WomenShirtsBlousesProductRight_CatEntries,p21,emsId,WomenShirtsBlousesProductRight_CatEntries|MARKETING,,1,,0
WomenShirtsBlousesProductRight_CatEntries,p22,catalogEntryIdList,WCL001_0102,,0,,0
WomenShirtsBlousesProductRight_CatEntries,p22,catalogEntryIdList,WCL001_0105,,0,,0
WomenShirtsBlousesProductRight_CatEntries,p22,catalogEntryIdList,WCL001_0108,,0,,0
WomenShirtsBlousesProductRight_CatEntries,p22,catalogEntryIdList,WCL001_0111,,0,,0
WomenSweatersProductRight_CatEntries,p21,emsId,WomenSweatersProductRight_CatEntries|MARKETING,,1,,0
WomenSweatersProductRight_CatEntries,p22,catalogEntryIdList,WCL002_0201,,0,,0
WomenSweatersProductRight_CatEntries,p22,catalogEntryIdList,WCL002_0204,,0,,0
WomenSweatersProductRight_CatEntries,p22,catalogEntryIdList,WCL002_0207,,0,,0
WomenSweatersProductRight_CatEntries,p22,catalogEntryIdList,WCL002_0209,,0,,0
WomenSkirtsProductRight_CatEntries,p21,emsId,WomenSkirtsProductRight_CatEntries|MARKETING,,1,,0
WomenSkirtsProductRight_CatEntries,p22,catalogEntryIdList,WCL003_0302,,0,,0
WomenSkirtsProductRight_CatEntries,p22,catalogEntryIdList,WCL003_0305,,0,,0
WomenSkirtsProductRight_CatEntries,p22,catalogEntryIdList,WCL003_0307,,0,,0
WomenSkirtsProductRight_CatEntries,p22,catalogEntryIdList,WCL003_0311,,0,,0
WomenPantsProductRight_CatEntries,p21,emsId,WomenPantsProductRight_CatEntries|MARKETING,,1,,0
WomenPantsProductRight_CatEntries,p22,catalogEntryIdList,WCL004_0401,,0,,0
WomenPantsProductRight_CatEntries,p22,catalogEntryIdList,WCL004_0405,,0,,0
WomenPantsProductRight_CatEntries,p22,catalogEntryIdList,WCL004_0407,,0,,0
WomenPantsProductRight_CatEntries,p22,catalogEntryIdList,WCL004_0410,,0,,0
WomenShoesProductRight_CatEntries,p21,emsId,WomenShoesProductRight_CatEntries|MARKETING,,1,,0
WomenShoesProductRight_CatEntries,p22,catalogEntryIdList,WSH005_0501,,0,,0
WomenShoesProductRight_CatEntries,p22,catalogEntryIdList,WSH005_0519,,0,,0
WomenShoesProductRight_CatEntries,p22,catalogEntryIdList,WSH005_0527,,0,,0
WomenShoesProductRight_CatEntries,p22,catalogEntryIdList,WSH005_0533,,0,,0
WomenHandbagsProductRight_CatEntries,p21,emsId,WomenHandbagsProductRight_CatEntries|MARKETING,,1,,0
WomenHandbagsProductRight_CatEntries,p22,catalogEntryIdList,WBG006_0601,,0,,0
WomenHandbagsProductRight_CatEntries,p22,catalogEntryIdList,WBG006_0609,,0,,0
WomenHandbagsProductRight_CatEntries,p22,catalogEntryIdList,WBG006_0612,,0,,0
WomenHandbagsProductRight_CatEntries,p22,catalogEntryIdList,WBG006_0616,,0,,0
WomenAccessoriesProductRight_CatEntries,p21,emsId,WomenAccessoriesProductRight_CatEntries|MARKETING,,1,,0
WomenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,WAC007_0701,,0,,0
WomenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,WAC007_0706,,0,,0
WomenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,WAC007_0711,,0,,0
WomenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,WAC007_0714,,0,,0
MenAccessoriesProductRight_CatEntries,p21,emsId,MenAccessoriesProductRight_CatEntries|MARKETING,,1,,0
MenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,MAC013_1301,,0,,0
MenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,MAC013_1308,,0,,0
MenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,MAC013_1315,,0,,0
MenAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,MAC013_1317,,0,,0
MenShoesProductRight_CatEntries,p21,emsId,MenShoesProductRight_CatEntries|MARKETING,,1,,0
MenShoesProductRight_CatEntries,p22,catalogEntryIdList,MSH012_1201,,0,,0
MenShoesProductRight_CatEntries,p22,catalogEntryIdList,MSH012_1217,,0,,0
MenShoesProductRight_CatEntries,p22,catalogEntryIdList,MSH012_1219,,0,,0
MenShoesProductRight_CatEntries,p22,catalogEntryIdList,MSH012_1222,,0,,0
MenPantsProductRight_CatEntries,p21,emsId,MenPantsProductRight_CatEntries|MARKETING,,1,,0
MenPantsProductRight_CatEntries,p22,catalogEntryIdList,MCL010_1001,,0,,0
MenPantsProductRight_CatEntries,p22,catalogEntryIdList,MCL010_1004,,0,,0
MenPantsProductRight_CatEntries,p22,catalogEntryIdList,MCL010_1006,,0,,0
MenPantsProductRight_CatEntries,p22,catalogEntryIdList,MCL010_1009,,0,,0
MenSuitsProductRight_CatEntries,p21,emsId,MenSuitsProductRight_CatEntries|MARKETING,,1,,0
MenSuitsProductRight_CatEntries,p22,catalogEntryIdList,MCL008_0802,,0,,0
MenSuitsProductRight_CatEntries,p22,catalogEntryIdList,MCL008_0806,,0,,0
MenSuitsProductRight_CatEntries,p22,catalogEntryIdList,MCL008_0810,,0,,0
MenSuitsProductRight_CatEntries,p22,catalogEntryIdList,MCL008_0812,,0,,0
MenShirtsProductRight_CatEntries,p21,emsId,MenShirtsProductRight_CatEntries|MARKETING,,1,,0
MenShirtsProductRight_CatEntries,p22,catalogEntryIdList,MCL011_1101,,0,,0
MenShirtsProductRight_CatEntries,p22,catalogEntryIdList,MCL011_1115,,0,,0
MenShirtsProductRight_CatEntries,p22,catalogEntryIdList,MCL011_1117,,0,,0
MenShirtsProductRight_CatEntries,p22,catalogEntryIdList,MCL011_1121,,0,,0
MenJacketsProductRight_CatEntries,p21,emsId,MenJacketsProductRight_CatEntries|MARKETING,,1,,0
MenJacketsProductRight_CatEntries,p22,catalogEntryIdList,MCL009_0901,,0,,0
MenJacketsProductRight_CatEntries,p22,catalogEntryIdList,MCL009_0904,,0,,0
MenJacketsProductRight_CatEntries,p22,catalogEntryIdList,MCL009_0906,,0,,0
MenJacketsProductRight_CatEntries,p22,catalogEntryIdList,MCL009_0908,,0,,0
GirlsShoesProductRight_CatEntries,p21,emsId,GirlsShoesProductRight_CatEntries|MARKETING,,1,,0
GirlsShoesProductRight_CatEntries,p22,catalogEntryIdList,GSH020_2001,,0,,0
GirlsShoesProductRight_CatEntries,p22,catalogEntryIdList,GSH020_2004,,0,,0
GirlsShoesProductRight_CatEntries,p22,catalogEntryIdList,GSH020_2006,,0,,0
GirlsShoesProductRight_CatEntries,p22,catalogEntryIdList,GSH020_2008,,0,,0
GirlsPantsProductRight_CatEntries,p21,emsId,GirlsPantsProductRight_CatEntries|MARKETING,,1,,0
GirlsPantsProductRight_CatEntries,p22,catalogEntryIdList,GCL018_1801,,0,,0
GirlsPantsProductRight_CatEntries,p22,catalogEntryIdList,GCL018_1804,,0,,0
GirlsPantsProductRight_CatEntries,p22,catalogEntryIdList,GCL018_1806,,0,,0
GirlsPantsProductRight_CatEntries,p22,catalogEntryIdList,GCL018_1808,,0,,0
GirlsDressesSkirtsProductRight_CatEntries,p21,emsId,GirlsDressesSkirtsProductRight_CatEntries|MARKETING,,1,,0
GirlsDressesSkirtsProductRight_CatEntries,p22,catalogEntryIdList,GCL019_1901,,0,,0
GirlsDressesSkirtsProductRight_CatEntries,p22,catalogEntryIdList,GCL019_1904,,0,,0
GirlsDressesSkirtsProductRight_CatEntries,p22,catalogEntryIdList,GCL019_1907,,0,,0
GirlsDressesSkirtsProductRight_CatEntries,p22,catalogEntryIdList,GCL019_1908,,0,,0
GirlsTopsProductRight_CatEntries,p21,emsId,GirlsTopsProductRight_CatEntries|MARKETING,,1,,0
GirlsTopsProductRight_CatEntries,p22,catalogEntryIdList,GCL017_1701,,0,,0
GirlsTopsProductRight_CatEntries,p22,catalogEntryIdList,GCL017_1704,,0,,0
GirlsTopsProductRight_CatEntries,p22,catalogEntryIdList,GCL017_1706,,0,,0
GirlsTopsProductRight_CatEntries,p22,catalogEntryIdList,GCL017_1708,,0,,0
BoysPantsProductRight_CatEntries,p21,emsId,BoysPantsProductRight_CatEntries|MARKETING,,1,,0
BoysPantsProductRight_CatEntries,p22,catalogEntryIdList,BCL015_1501,,0,,0
BoysPantsProductRight_CatEntries,p22,catalogEntryIdList,BCL015_1504,,0,,0
BoysPantsProductRight_CatEntries,p22,catalogEntryIdList,BCL015_1506,,0,,0
BoysPantsProductRight_CatEntries,p22,catalogEntryIdList,BCL015_1508,,0,,0
BoysTopsProductRight_CatEntries,p21,emsId,BoysTopsProductRight_CatEntries|MARKETING,,1,,0
BoysTopsProductRight_CatEntries,p22,catalogEntryIdList,BCL014_1401,,0,,0
BoysTopsProductRight_CatEntries,p22,catalogEntryIdList,BCL014_1404,,0,,0
BoysTopsProductRight_CatEntries,p22,catalogEntryIdList,BCL014_1406,,0,,0
BoysTopsProductRight_CatEntries,p22,catalogEntryIdList,BCL014_1407,,0,,0
BoysShoesProductRight_CatEntries,p21,emsId,BoysShoesProductRight_CatEntries|MARKETING,,1,,0
BoysShoesProductRight_CatEntries,p22,catalogEntryIdList,BSH016_1601,,0,,0
BoysShoesProductRight_CatEntries,p22,catalogEntryIdList,BSH016_1604,,0,,0
BoysShoesProductRight_CatEntries,p22,catalogEntryIdList,BSH016_1606,,0,,0
BoysShoesProductRight_CatEntries,p22,catalogEntryIdList,BSH016_1608,,0,,0
MenRow4_CatEntries,p21,emsId,MenRow4_CatEntries|MARKETING,,1,,0
MenRow4_CatEntries,p22,catalogEntryIdList,MCL009_0910,,0,,0
MenRow4_CatEntries,p22,catalogEntryIdList,MCL011_1103,,0,,0
MenRow4_CatEntries,p22,catalogEntryIdList,MCL011_1110,,0,,0
MenRow4_CatEntries,p22,catalogEntryIdList,MCL008_0815,,0,,0
BoysRow4_CatEntries,p21,emsId,BoysRow4_CatEntries|MARKETING,,1,,0
BoysRow4_CatEntries,p22,catalogEntryIdList,BCL014_1402,,0,,0
BoysRow4_CatEntries,p22,catalogEntryIdList,BCL014_1403,,0,,0
BoysRow4_CatEntries,p22,catalogEntryIdList,BCL014_1408,,0,,0
BoysRow4_CatEntries,p22,catalogEntryIdList,BCL014_1415,,0,,0
GirlsRow4_CatEntries,p21,emsId,GirlsRow4_CatEntries|MARKETING,,1,,0
GirlsRow4_CatEntries,p22,catalogEntryIdList,GCL019_1901,,0,,0
GirlsRow4_CatEntries,p22,catalogEntryIdList,GCL019_1913,,0,,0
GirlsRow4_CatEntries,p22,catalogEntryIdList,GCL017_1707,,0,,0
GirlsRow4_CatEntries,p22,catalogEntryIdList,GCL017_1711,,0,,0
ComputersDesktopsProductRight_CatEntries,p21,emsId,ComputersDesktopsProductRight_CatEntries|MARKETING,,1,,0
ComputersDesktopsProductRight_CatEntries,p22,catalogEntryIdList,CDE021_2101,,0,,0
ComputersDesktopsProductRight_CatEntries,p22,catalogEntryIdList,CDE021_2102,,0,,0
ComputersDesktopsProductRight_CatEntries,p22,catalogEntryIdList,CDE021_2103,,0,,0
ComputersDesktopsProductRight_CatEntries,p22,catalogEntryIdList,CDE021_2104,,0,,0
ComputersLaptopsProductRight_CatEntries,p21,emsId,ComputersLaptopsProductRight_CatEntries|MARKETING,,1,,0
ComputersLaptopsProductRight_CatEntries,p22,catalogEntryIdList,CLA022_2201,,0,,0
ComputersLaptopsProductRight_CatEntries,p22,catalogEntryIdList,CLA022_2202,,0,,0
ComputersLaptopsProductRight_CatEntries,p22,catalogEntryIdList,CLA022_2204,,0,,0
ComputersLaptopsProductRight_CatEntries,p22,catalogEntryIdList,CLA022_2206,,0,,0
ComputersTabletsProductRight_CatEntries,p21,emsId,ComputersTabletsProductRight_CatEntries|MARKETING,,1,,0
ComputersTabletsProductRight_CatEntries,p22,catalogEntryIdList,CTA023_2301,,0,,0
ComputersTabletsProductRight_CatEntries,p22,catalogEntryIdList,CTA023_2303,,0,,0
ComputersTabletsProductRight_CatEntries,p22,catalogEntryIdList,CTA023_2304,,0,,0
ComputersTabletsProductRight_CatEntries,p22,catalogEntryIdList,CTA023_2306,,0,,0
ComputersAccessoriesProductRight_CatEntries,p21,emsId,ComputersAccessoriesProductRight_CatEntries|MARKETING,,1,,0
ComputersAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,CAC024_2401,,0,,0
ComputersAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,CAC024_2402,,0,,0
ComputersAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,CAC024_2403,,0,,0
ComputersAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,CAC024_2404,,0,,0
ComputersComponentsProductRight_CatEntries,p21,emsId,ComputersComponentsProductRight_CatEntries|MARKETING,,1,,0
ComputersComponentsProductRight_CatEntries,p22,catalogEntryIdList,CCM039_3901,,0,,0
ComputersComponentsProductRight_CatEntries,p22,catalogEntryIdList,CCM039_3903,,0,,0
ComputersComponentsProductRight_CatEntries,p22,catalogEntryIdList,CCM039_3904,,0,,0
ComputersComponentsProductRight_CatEntries,p22,catalogEntryIdList,CCM039_3905,,0,,0
NewslettersProductRight_CatEntries,p21,emsId,NewslettersProductRight_CatEntries|MARKETING,,1,,0
NewslettersProductRight_CatEntries,p22,catalogEntryIdList,NNE025_2501,,0,,0
NewslettersProductRight_CatEntries,p22,catalogEntryIdList,NNE025_2502,,0,,0
NewslettersProductRight_CatEntries,p22,catalogEntryIdList,NNE025_2503,,0,,0
NewslettersProductRight_CatEntries,p22,catalogEntryIdList,NNE025_2504,,0,,0
MagazinesProductRight_CatEntries,p21,emsId,MagazinesProductRight_CatEntries|MARKETING,,1,,0
MagazinesProductRight_CatEntries,p22,catalogEntryIdList,NMA026_2602,,0,,0
MagazinesProductRight_CatEntries,p22,catalogEntryIdList,NMA026_2605,,0,,0
MagazinesProductRight_CatEntries,p22,catalogEntryIdList,NMA026_2607,,0,,0
MagazinesProductRight_CatEntries,p22,catalogEntryIdList,NMA026_2609,,0,,0
AppliancesProductRight_CatEntries,p21,emsId,AppliancesProductRight_CatEntries|MARKETING,,1,,0
AppliancesProductRight_CatEntries,p22,catalogEntryIdList,HAP027_2706,,0,,0
AppliancesProductRight_CatEntries,p22,catalogEntryIdList,HAP027_2709,,0,,0
AppliancesProductRight_CatEntries,p22,catalogEntryIdList,HAP027_2711,,0,,0
AppliancesProductRight_CatEntries,p22,catalogEntryIdList,HAP027_2715,,0,,0
LightingProductRight_CatEntries,p21,emsId,LightingProductRight_CatEntries|MARKETING,,1,,0
LightingProductRight_CatEntries,p22,catalogEntryIdList,HLG028_2803,,0,,0
LightingProductRight_CatEntries,p22,catalogEntryIdList,HLG028_2808,,0,,0
LightingProductRight_CatEntries,p22,catalogEntryIdList,HLG028_2811,,0,,0
LightingProductRight_CatEntries,p22,catalogEntryIdList,HLG028_2816,,0,,0
TablewareProductRight_CatEntries,p21,emsId,TablewareProductRight_CatEntries|MARKETING,,1,,0
TablewareProductRight_CatEntries,p22,catalogEntryIdList,HTA029_2901,,0,,0
TablewareProductRight_CatEntries,p22,catalogEntryIdList,HTA029_2904,,0,,0
TablewareProductRight_CatEntries,p22,catalogEntryIdList,HTA029_2917,,0,,0
TablewareProductRight_CatEntries,p22,catalogEntryIdList,HTA029_2923,,0,,0
KitchenwareProductRight_CatEntries,p21,emsId,KitchenwareProductRight_CatEntries|MARKETING,,1,,0
KitchenwareProductRight_CatEntries,p22,catalogEntryIdList,HKT030_3005,,0,,0
KitchenwareProductRight_CatEntries,p22,catalogEntryIdList,HKT030_3010,,0,,0
KitchenwareProductRight_CatEntries,p22,catalogEntryIdList,HKT030_3011,,0,,0
KitchenwareProductRight_CatEntries,p22,catalogEntryIdList,HKT030_3014,,0,,0
BathAccessoriesProductRight_CatEntries,p21,emsId,BathAccessoriesProductRight_CatEntries|MARKETING,,1,,0
BathAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,HBA031_3101,,0,,0
BathAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,HBA031_3107,,0,,0
BathAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,HBA031_3110,,0,,0
BathAccessoriesProductRight_CatEntries,p22,catalogEntryIdList,HBA031_3112,,0,,0
FurnitureProductRight_CatEntries,p21,emsId,FurnitureProductRight_CatEntries|MARKETING,,1,,0
FurnitureProductRight_CatEntries,p22,catalogEntryIdList,HFU032_3213,,0,,0
FurnitureProductRight_CatEntries,p22,catalogEntryIdList,HFU032_3217,,0,,0
FurnitureProductRight_CatEntries,p22,catalogEntryIdList,HFU032_3223,,0,,0
FurnitureProductRight_CatEntries,p22,catalogEntryIdList,HFU032_3230,,0,,0
FruitProductRight_CatEntries,p21,emsId,FruitProductRight_CatEntries|MARKETING,,1,,0
FruitProductRight_CatEntries,p22,catalogEntryIdList,GFR033_3301,,0,,0
FruitProductRight_CatEntries,p22,catalogEntryIdList,GFR033_3303,,0,,0
FruitProductRight_CatEntries,p22,catalogEntryIdList,GFR033_3305,,0,,0
FruitProductRight_CatEntries,p22,catalogEntryIdList,GFR033_3307,,0,,0
VegetablesProductRight_CatEntries,p21,emsId,VegetablesProductRight_CatEntries|MARKETING,,1,,0
VegetablesProductRight_CatEntries,p22,catalogEntryIdList,GVE034_3402,,0,,0
VegetablesProductRight_CatEntries,p22,catalogEntryIdList,GVE034_3405,,0,,0
VegetablesProductRight_CatEntries,p22,catalogEntryIdList,GVE034_3408,,0,,0
VegetablesProductRight_CatEntries,p22,catalogEntryIdList,GVE034_3410,,0,,0
MeatProductRight_CatEntries,p21,emsId,MeatProductRight_CatEntries|MARKETING,,1,,0
MeatProductRight_CatEntries,p22,catalogEntryIdList,GME036_3601,,0,,0
MeatProductRight_CatEntries,p22,catalogEntryIdList,GME036_3604,,0,,0
MeatProductRight_CatEntries,p22,catalogEntryIdList,GME036_3608,,0,,0
MeatProductRight_CatEntries,p22,catalogEntryIdList,GME036_3610,,0,,0
DairyProductRight_CatEntries,p21,emsId,DairyProductRight_CatEntries|MARKETING,,1,,0
DairyProductRight_CatEntries,p22,catalogEntryIdList,GDA035_3503,,0,,0
DairyProductRight_CatEntries,p22,catalogEntryIdList,GDA035_3504,,0,,0
DairyProductRight_CatEntries,p22,catalogEntryIdList,GDA035_3506,,0,,0
DairyProductRight_CatEntries,p22,catalogEntryIdList,GDA035_3509,,0,,0
MedicineProductRight_CatEntries,p21,emsId,MedicineProductRight_CatEntries|MARKETING,,1,,0
MedicineProductRight_CatEntries,p22,catalogEntryIdList,HME037_3702,,0,,0
MedicineProductRight_CatEntries,p22,catalogEntryIdList,HME037_3704,,0,,0
MedicineProductRight_CatEntries,p22,catalogEntryIdList,HME037_3707,,0,,0
MedicineProductRight_CatEntries,p22,catalogEntryIdList,HME037_3710,,0,,0
VitaminsProductRight_CatEntries,p21,emsId,VitaminsProductRight_CatEntries|MARKETING,,1,,0
VitaminsProductRight_CatEntries,p22,catalogEntryIdList,HVT038_3802,,0,,0
VitaminsProductRight_CatEntries,p22,catalogEntryIdList,HVT038_3804,,0,,0
VitaminsProductRight_CatEntries,p22,catalogEntryIdList,HVT038_3807,,0,,0
VitaminsProductRight_CatEntries,p22,catalogEntryIdList,HVT038_3808,,0,,0
ElectronicsRow4_CatEntries,p21,emsId,ElectronicsRow4_CatEntries|MARKETING,,1,,0
ElectronicsRow4_CatEntries,p22,catalogEntryIdList,CCM039_3901,,0,,0
ElectronicsRow4_CatEntries,p22,catalogEntryIdList,CDE021_2104,,0,,0
ElectronicsRow4_CatEntries,p22,catalogEntryIdList,CLA022_2202,,0,,0
ElectronicsRow4_CatEntries,p22,catalogEntryIdList,CTA023_2301,,0,,0
NewslettersAndMagazinesRow4_CatEntries,p21,emsId,NewslettersAndMagazinesRow4_CatEntries|MARKETING,,1,,0
NewslettersAndMagazinesRow4_CatEntries,p22,catalogEntryIdList,NMA026_2602,,0,,0
NewslettersAndMagazinesRow4_CatEntries,p22,catalogEntryIdList,NMA026_2607,,0,,0
NewslettersAndMagazinesRow4_CatEntries,p22,catalogEntryIdList,NNE025_2503,,0,,0
NewslettersAndMagazinesRow4_CatEntries,p22,catalogEntryIdList,NNE025_2505,,0,,0
HomeFurnishingsRow4_CatEntries,p21,emsId,HomeFurnishingsRow4_CatEntries|MARKETING,,1,,0
HomeFurnishingsRow4_CatEntries,p22,catalogEntryIdList,HKT030_3005,,0,,0
HomeFurnishingsRow4_CatEntries,p22,catalogEntryIdList,HLG028_2816,,0,,0
HomeFurnishingsRow4_CatEntries,p22,catalogEntryIdList,HTA029_2923,,0,,0
