LayoutWidget
LayoutName,AdminName,ChildWidgetDefIdentifier,ChildWidgetAdminName,WidgetSequence,SlotID
CategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
CategoryPageLayout,SubCategoryPageContainer,CategoryNavigation_801,CategoryNavigationWidget,0,5
CategoryPageLayout,SubCategoryPageContainer,FacetNavigation_801,FacetNavigationWidget,1,5
CategoryPageLayout,SubCategoryPageContainer,Heading_801,HeadingWidget,0,4
CategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,PromotionAdWidget,0,4
CategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,CatalogEntryWidget,0,6
CategoryPageLayout,SubCategoryPageContainer,CatalogEntryList_801,CatalogEntryListWidget,2,6
ProductPageLayout,ProductPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
ProductPageLayout,ProductPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
ProductPageLayout,ProductPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
ProductPageLayout,ProductPageContainer,FullImage_801,FullImageWidget,0,4
ProductPageLayout,ProductPageContainer,NamePartNumberAndPrice_801,NamePartNumberAndPriceWidget,0,5
ProductPageLayout,ProductPageContainer,Discounts_801,DiscountsWidget,1,5
ProductPageLayout,ProductPageContainer,ShortDescription_801,ShortDescriptionWidget,2,5
ProductPageLayout,ProductPageContainer,DefiningAttributes_801,DefiningAttributesWidget,0,6
ProductPageLayout,ProductPageContainer,InventoryAvailability_801,InventoryAvailabilityWidget,1,6
ProductPageLayout,ProductPageContainer,ShopperActions_801,ShopperActionsWidget,2,6
ProductPageLayout,ProductPageContainer,MerchandisingAssociations_801,MerchandisingAssociationsWidget,0,8
ProductPageLayout,ProductPageContainer,LongDescription_801,LongDescriptionWidget,0,9
ProductPageLayout,ProductPageContainer,DescriptiveAttributes_801,DescriptiveAttributesWidget,1,9
ProductPageLayout,ProductPageContainer,AssociatedAssets_801,AssociatedAssetsWidget,2,9
ProductPageLayout,ProductPageContainer,EMarketingSpot_801,CatalogEntryRecommendationWidget,0,10
ProductPageLayout,ProductPageContainer,TextEditor_801,Tab1TextWidget,0,Title9
ProductPageLayout,ProductPageContainer,TextEditor_801,Tab2TextWidget,0,Title10
KitPageLayout,ProductPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
KitPageLayout,ProductPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
KitPageLayout,ProductPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
KitPageLayout,ProductPageContainer,FullImage_801,FullImageWidget,0,4
KitPageLayout,ProductPageContainer,NamePartNumberAndPrice_801,NamePartNumberAndPriceWidget,0,5
KitPageLayout,ProductPageContainer,Discounts_801,DiscountsWidget,1,5
KitPageLayout,ProductPageContainer,ShortDescription_801,ShortDescriptionWidget,2,5
KitPageLayout,ProductPageContainer,InventoryAvailability_801,InventoryAvailabilityWidget,1,6
KitPageLayout,ProductPageContainer,ShopperActions_801,ShopperActionsWidget,2,6
KitPageLayout,ProductPageContainer,Components_801,ComponentsWidget,0,7
KitPageLayout,ProductPageContainer,MerchandisingAssociations_801,MerchandisingAssociationsWidget,0,8
KitPageLayout,ProductPageContainer,LongDescription_801,LongDescriptionWidget,0,9
KitPageLayout,ProductPageContainer,DescriptiveAttributes_801,DescriptiveAttributesWidget,1,9
KitPageLayout,ProductPageContainer,AssociatedAssets_801,AssociatedAssetsWidget,2,9
KitPageLayout,ProductPageContainer,EMarketingSpot_801,CatalogEntryRecommendationWidget,0,10
KitPageLayout,ProductPageContainer,TextEditor_801,Tab1TextWidget,0,Title9
KitPageLayout,ProductPageContainer,TextEditor_801,Tab2TextWidget,0,Title10
BundlePageLayout,ProductPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
BundlePageLayout,ProductPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
BundlePageLayout,ProductPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
BundlePageLayout,ProductPageContainer,FullImage_801,FullImageWidget,0,4
BundlePageLayout,ProductPageContainer,NamePartNumberAndPrice_801,NamePartNumberAndPriceWidget,0,5
BundlePageLayout,ProductPageContainer,Discounts_801,DiscountsWidget,1,5
BundlePageLayout,ProductPageContainer,ShortDescription_801,ShortDescriptionWidget,2,5
BundlePageLayout,ProductPageContainer,ShopperActions_801,ShopperActionsWidget,1,6
BundlePageLayout,ProductPageContainer,Components_801,ComponentsWidget,0,7
BundlePageLayout,ProductPageContainer,MerchandisingAssociations_801,MerchandisingAssociationsWidget,0,8
BundlePageLayout,ProductPageContainer,LongDescription_801,LongDescriptionWidget,0,9
BundlePageLayout,ProductPageContainer,DescriptiveAttributes_801,DescriptiveAttributesWidget,1,9
BundlePageLayout,ProductPageContainer,AssociatedAssets_801,AssociatedAssetsWidget,2,9
BundlePageLayout,ProductPageContainer,EMarketingSpot_801,CatalogEntryRecommendationWidget,0,10
BundlePageLayout,ProductPageContainer,TextEditor_801,Tab1TextWidget,0,Title9
BundlePageLayout,ProductPageContainer,TextEditor_801,Tab2TextWidget,0,Title10
DynamicKitPageLayout,ProductPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
DynamicKitPageLayout,ProductPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
DynamicKitPageLayout,ProductPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
DynamicKitPageLayout,ProductPageContainer,FullImage_801,FullImageWidget,0,4
DynamicKitPageLayout,ProductPageContainer,NamePartNumberAndPrice_801,NamePartNumberAndPriceWidget,0,5
DynamicKitPageLayout,ProductPageContainer,Discounts_801,DiscountsWidget,1,5
DynamicKitPageLayout,ProductPageContainer,ShortDescription_801,ShortDescriptionWidget,2,5
DynamicKitPageLayout,ProductPageContainer,ShopperActions_801,ShopperActionsWidget,0,6
DynamicKitPageLayout,ProductPageContainer,MerchandisingAssociations_801,MerchandisingAssociationsWidget,0,8
DynamicKitPageLayout,ProductPageContainer,LongDescription_801,LongDescriptionWidget,0,9
DynamicKitPageLayout,ProductPageContainer,DescriptiveAttributes_801,DescriptiveAttributesWidget,1,9
DynamicKitPageLayout,ProductPageContainer,AssociatedAssets_801,AssociatedAssetsWidget,2,9
DynamicKitPageLayout,ProductPageContainer,EMarketingSpot_801,CatalogEntryRecommendationWidget,0,10
DynamicKitPageLayout,ProductPageContainer,TextEditor_801,Tab1TextWidget,0,Title9
DynamicKitPageLayout,ProductPageContainer,TextEditor_801,Tab2TextWidget,0,Title10
HardwareLightingPageLayout,SubCategoryPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
HardwareLightingPageLayout,SubCategoryPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
HardwareLightingPageLayout,SubCategoryPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
HardwareLightingPageLayout,SubCategoryPageContainer,CategoryNavigation_801,CategoryNavigationWidget,0,5
HardwareLightingPageLayout,SubCategoryPageContainer,FacetNavigation_801,FacetNavigationWidget,1,5
HardwareLightingPageLayout,SubCategoryPageContainer,Heading_801,HeadingWidget,0,4
HardwareLightingPageLayout,SubCategoryPageContainer,EMarketingSpot_801,PromotionAdWidget,0,4
HardwareLightingPageLayout,SubCategoryPageContainer,EMarketingSpot_801,CatalogEntryWidget,0,6
HardwareLightingPageLayout,SubCategoryPageContainer,CatalogEntryList_801,CatalogEntryListWidget,2,6
FastenersProductPageLayout,ProductPageContainer(2),BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
FastenersProductPageLayout,ProductPageContainer(2),EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
FastenersProductPageLayout,ProductPageContainer(2),EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
FastenersProductPageLayout,ProductPageContainer(2),FullImage_801,FullImageWidget,0,4
FastenersProductPageLayout,ProductPageContainer(2),NamePartNumberAndPrice_801,NamePartNumberAndPriceWidget,0,5
FastenersProductPageLayout,ProductPageContainer(2),Discounts_801,DiscountsWidget,1,5
FastenersProductPageLayout,ProductPageContainer(2),ShortDescription_801,ShortDescriptionWidget,2,5
FastenersProductPageLayout,ProductPageContainer(2),DefiningAttributes_801,DefiningAttributesWidget,0,6
FastenersProductPageLayout,ProductPageContainer(2),SKUList_801,SKUListWidget,0,6
FastenersProductPageLayout,ProductPageContainer(2),MerchandisingAssociations_801,MerchandisingAssociationsWidget,1,7
FastenersProductPageLayout,ProductPageContainer(2),EMarketingSpot_801,CatalogEntryRecommendationWidget,0,7
