MarketingElement
activityName,elementName,parentElementName,sequence,elementTemplateId,priority,triggerName,allUsers,field1,field2,field3,field4,delete
HeaderESpot  Web activity,0,,,6,,,,,,,,0
HeaderESpot  Web activity,1,0,1000.0,105,,DisplayEms,1,,,,,0
HeaderESpot  Web activity,2,0,2000.0,301,,,,,,,,0
HeaderESpot Left Web activity,0,,,6,,,,,,,,0
HeaderESpot Left Web activity,1,0,1000.0,105,,DisplayEms,1,,,,,0
HeaderESpot Left Web activity,2,0,2000.0,301,,,,,,,,0
HeaderESpot Right Web activity,0,,,6,,,,,,,,0
HeaderESpot Right Web activity,1,0,1000.0,105,,DisplayEms,1,,,,,0
HeaderESpot Right Web activity,2,0,2000.0,301,,,,,,,,0
DressesProductSuggestion,p20,,0.0,6,,,,,,,,0
DressesProductSuggestion,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
DressesProductSuggestion,p22,p20,3000.0,303,,,,,,,,0
FastenersRow3_Categories,0,,,6,,,,,,,,0
FastenersRow3_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
FastenersRow3_Categories,2,0,2000.0,302,,,,,,,,0
FastenersRow4_CatEntries,p20,,0.0,6,,,,,,,,0
FastenersRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
FastenersRow4_CatEntries,p22,p20,2000.0,303,,,,,,,,0
WomenShirtsBlousesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
WomenShirtsBlousesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenShirtsBlousesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
WomenSweatersProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
WomenSweatersProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenSweatersProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
WomenSkirtsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
WomenSkirtsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenSkirtsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
WomenPantsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
WomenPantsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenPantsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
WomenShoesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
WomenShoesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenShoesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
WomenHandbagsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
WomenHandbagsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenHandbagsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
WomenAccessoriesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
WomenAccessoriesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenAccessoriesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MenAccessoriesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MenAccessoriesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MenAccessoriesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MenShoesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MenShoesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MenShoesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MenPantsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MenPantsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MenPantsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MenSuitsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MenSuitsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MenSuitsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MenShirtsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MenShirtsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MenShirtsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MenJacketsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MenJacketsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MenJacketsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
GirlsShoesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
GirlsShoesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
GirlsShoesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
GirlsPantsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
GirlsPantsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
GirlsPantsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
GirlsDressesSkirtsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
GirlsDressesSkirtsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
GirlsDressesSkirtsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
GirlsTopsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
GirlsTopsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
GirlsTopsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
BoysPantsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
BoysPantsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
BoysPantsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
BoysTopsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
BoysTopsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
BoysTopsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
BoysShoesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
BoysShoesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
BoysShoesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MenRow4_CatEntries,p20,,0.0,6,,,,,,,,0
MenRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MenRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
BoysRow4_CatEntries,p20,,0.0,6,,,,,,,,0
BoysRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
BoysRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
GirlsRow4_CatEntries,p20,,0.0,6,,,,,,,,0
GirlsRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
GirlsRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ComputersDesktopsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
ComputersDesktopsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ComputersDesktopsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ComputersLaptopsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
ComputersLaptopsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ComputersLaptopsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ComputersTabletsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
ComputersTabletsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ComputersTabletsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ComputersAccessoriesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
ComputersAccessoriesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ComputersAccessoriesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ComputersComponentsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
ComputersComponentsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ComputersComponentsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
NewslettersProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
NewslettersProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
NewslettersProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MagazinesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MagazinesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MagazinesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
AppliancesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
AppliancesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
AppliancesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
LightingProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
LightingProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
LightingProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
TablewareProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
TablewareProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
TablewareProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
KitchenwareProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
KitchenwareProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
KitchenwareProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
BathAccessoriesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
BathAccessoriesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
BathAccessoriesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
FurnitureProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
FurnitureProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
FurnitureProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
FruitProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
FruitProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
FruitProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
VegetablesProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
VegetablesProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
VegetablesProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MeatProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MeatProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MeatProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
DairyProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
DairyProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
DairyProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
MedicineProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
MedicineProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
MedicineProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
VitaminsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
VitaminsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
VitaminsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ElectronicsRow4_CatEntries,p20,,0.0,6,,,,,,,,0
ElectronicsRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ElectronicsRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
NewslettersAndMagazinesRow4_CatEntries,p20,,0.0,6,,,,,,,,0
NewslettersAndMagazinesRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
NewslettersAndMagazinesRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
HomeFurnishingsRow4_CatEntries,p20,,0.0,6,,,,,,,,0
HomeFurnishingsRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
HomeFurnishingsRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
GroceryRow4_CatEntries,p20,,0.0,6,,,,,,,,0
GroceryRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
GroceryRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
HealthRow4_CatEntries,p20,,0.0,6,,,,,,,,0
HealthRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
HealthRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
HardwareLightingProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
HardwareLightingProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
HardwareLightingProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
BoltsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
BoltsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
BoltsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
NutsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
NutsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
NutsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ScrewsProductRight_CatEntries,p20,,0.0,6,,,,,,,,0
ScrewsProductRight_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ScrewsProductRight_CatEntries,p22,p20,3000.0,303,,,,,,,,0
BoysPantsRow2_Content,0,,,6,,,,,,,,0
BoysPantsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
BoysPantsRow2_Content,2,0,2000.0,301,,,,,,,,0
BoysShoesRow2_Content,0,,,6,,,,,,,,0
BoysShoesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
BoysShoesRow2_Content,2,0,2000.0,301,,,,,,,,0
BoysTopsRow2_Content,0,,,6,,,,,,,,0
BoysTopsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
BoysTopsRow2_Content,2,0,2000.0,301,,,,,,,,0
BoysRow1_Content,0,,,6,,,,,,,,0
BoysRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
BoysRow1_Content,2,0,2000.0,301,,,,,,,,0
BoysRow3_Categories,0,,,6,,,,,,,,0
BoysRow3_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
BoysRow3_Categories,2,0,2000.0,302,,,,,,,,0
GirlsDressesSkirtsRow2_Content,0,,,6,,,,,,,,0
GirlsDressesSkirtsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
GirlsDressesSkirtsRow2_Content,2,0,2000.0,301,,,,,,,,0
GirlsPantsRow2_Content,0,,,6,,,,,,,,0
GirlsPantsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
GirlsPantsRow2_Content,2,0,2000.0,301,,,,,,,,0
GirlsShoesRow2_Content,0,,,6,,,,,,,,0
GirlsShoesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
GirlsShoesRow2_Content,2,0,2000.0,301,,,,,,,,0
GirlsTopsRow2_Content,0,,,6,,,,,,,,0
GirlsTopsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
GirlsTopsRow2_Content,2,0,2000.0,301,,,,,,,,0
GirlsRow1_Content,0,,,6,,,,,,,,0
GirlsRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
GirlsRow1_Content,2,0,2000.0,301,,,,,,,,0
GirlsRow3_Categories,0,,,6,,,,,,,,0
GirlsRow3_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
GirlsRow3_Categories,2,0,2000.0,302,,,,,,,,0
MenAccessoriesRow2_Content,0,,,6,,,,,,,,0
MenAccessoriesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenAccessoriesRow2_Content,2,0,2000.0,301,,,,,,,,0
MenJacketsRow2_Content,0,,,6,,,,,,,,0
MenJacketsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenJacketsRow2_Content,2,0,2000.0,301,,,,,,,,0
MenPantsRow2_Content,0,,,6,,,,,,,,0
MenPantsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenPantsRow2_Content,2,0,2000.0,301,,,,,,,,0
MenShirtsRow2_Content,0,,,6,,,,,,,,0
MenShirtsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenShirtsRow2_Content,2,0,2000.0,301,,,,,,,,0
MenShoesRow2_Content,0,,,6,,,,,,,,0
MenShoesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenShoesRow2_Content,2,0,2000.0,301,,,,,,,,0
MenSuitsRow2_Content,0,,,6,,,,,,,,0
MenSuitsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenSuitsRow2_Content,2,0,2000.0,301,,,,,,,,0
MenRow1_Content,0,,,6,,,,,,,,0
MenRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenRow1_Content,2,0,2000.0,301,,,,,,,,0
MenRow3_Categories,0,,,6,,,,,,,,0
MenRow3_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
MenRow3_Categories,2,0,2000.0,302,,,,,,,,0
WomenAccessoriesRow2_Content,0,,,6,,,,,,,,0
WomenAccessoriesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenAccessoriesRow2_Content,2,0,2000.0,301,,,,,,,,0
WomenHandbagsRow2_Content,0,,,6,,,,,,,,0
WomenHandbagsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenHandbagsRow2_Content,2,0,2000.0,301,,,,,,,,0
WomenPantsRow2_Content,0,,,6,,,,,,,,0
WomenPantsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenPantsRow2_Content,2,0,2000.0,301,,,,,,,,0
WomenShirtsBlousesRow2_Content,0,,,6,,,,,,,,0
WomenShirtsBlousesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenShirtsBlousesRow2_Content,2,0,2000.0,301,,,,,,,,0
WomenShoesRow2_Content,0,,,6,,,,,,,,0
WomenShoesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenShoesRow2_Content,2,0,2000.0,301,,,,,,,,0
WomenSkirtsRow2_Content,0,,,6,,,,,,,,0
WomenSkirtsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenSkirtsRow2_Content,2,0,2000.0,301,,,,,,,,0
WomenSweatersRow2_Content,0,,,6,,,,,,,,0
WomenSweatersRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenSweatersRow2_Content,2,0,2000.0,301,,,,,,,,0
ApparelRow3_Categories,0,,,6,,,,,,,,0
ApparelRow3_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
ApparelRow3_Categories,2,0,2000.0,302,,,,,,,,0
WomenRow3_Categories,0,,,6,,,,,,,,0
WomenRow3_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
WomenRow3_Categories,2,0,2000.0,302,,,,,,,,0
ApparelRow4_CatEntries,p20,,0.0,6,,,,,,,,0
ApparelRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
ApparelRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
WomenRow4_CatEntries,p20,,0.0,6,,,,,,,,0
WomenRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
WomenRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
ComputersAccessoriesRow2_Content,0,,,6,,,,,,,,0
ComputersAccessoriesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
ComputersAccessoriesRow2_Content,2,0,2000.0,301,,,,,,,,0
AppliancesRow2_Content,0,,,6,,,,,,,,0
AppliancesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
AppliancesRow2_Content,2,0,2000.0,301,,,,,,,,0
BathAccessoriesRow2_Content,0,,,6,,,,,,,,0
BathAccessoriesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
BathAccessoriesRow2_Content,2,0,2000.0,301,,,,,,,,0
ComputersComponentsRow2_Content,0,,,6,,,,,,,,0
ComputersComponentsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
ComputersComponentsRow2_Content,2,0,2000.0,301,,,,,,,,0
ComputersDesktopsRow2_Content,0,,,6,,,,,,,,0
ComputersDesktopsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
ComputersDesktopsRow2_Content,2,0,2000.0,301,,,,,,,,0
DairyRow2_Content,0,,,6,,,,,,,,0
DairyRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
DairyRow2_Content,2,0,2000.0,301,,,,,,,,0
ElectronicsRow1_Content,0,,,6,,,,,,,,0
ElectronicsRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
ElectronicsRow1_Content,2,0,2000.0,301,,,,,,,,0
ElectronicsRow2_Content,0,,,6,,,,,,,,0
ElectronicsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
ElectronicsRow2_Content,2,0,2000.0,301,,,,,,,,0
FruitRow2_Content,0,,,6,,,,,,,,0
FruitRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
FruitRow2_Content,2,0,2000.0,301,,,,,,,,0
FurnitureRow2_Content,0,,,6,,,,,,,,0
FurnitureRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
FurnitureRow2_Content,2,0,2000.0,301,,,,,,,,0
GroceryRow1_Content,0,,,6,,,,,,,,0
GroceryRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
GroceryRow1_Content,2,0,2000.0,301,,,,,,,,0
GroceryRow2_Content,0,,,6,,,,,,,,0
GroceryRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
GroceryRow2_Content,2,0,2000.0,301,,,,,,,,0
HealthRow1_Content,0,,,6,,,,,,,,0
HealthRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
HealthRow1_Content,2,0,2000.0,301,,,,,,,,0
HealthRow2_Content,0,,,6,,,,,,,,0
HealthRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
HealthRow2_Content,2,0,2000.0,301,,,,,,,,0
HomeFurnishingsRow1_Content,0,,,6,,,,,,,,0
HomeFurnishingsRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
HomeFurnishingsRow1_Content,2,0,2000.0,301,,,,,,,,0
HomeFurnishingsRow2_Content,0,,,6,,,,,,,,0
HomeFurnishingsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
HomeFurnishingsRow2_Content,2,0,2000.0,301,,,,,,,,0
KitchenwareRow2_Content,0,,,6,,,,,,,,0
KitchenwareRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
KitchenwareRow2_Content,2,0,2000.0,301,,,,,,,,0
ComputersLaptopsRow2_Content,0,,,6,,,,,,,,0
ComputersLaptopsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
ComputersLaptopsRow2_Content,2,0,2000.0,301,,,,,,,,0
LightingRow2_Content,0,,,6,,,,,,,,0
LightingRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
LightingRow2_Content,2,0,2000.0,301,,,,,,,,0
MagazinesRow2_Content,0,,,6,,,,,,,,0
MagazinesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MagazinesRow2_Content,2,0,2000.0,301,,,,,,,,0
MeatRow2_Content,0,,,6,,,,,,,,0
MeatRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MeatRow2_Content,2,0,2000.0,301,,,,,,,,0
MedicineRow2_Content,0,,,6,,,,,,,,0
MedicineRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
MedicineRow2_Content,2,0,2000.0,301,,,,,,,,0
NewslettersAndMagazinesRow1_Content,0,,,6,,,,,,,,0
NewslettersAndMagazinesRow1_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
NewslettersAndMagazinesRow1_Content,2,0,2000.0,301,,,,,,,,0
NewslettersAndMagazinesRow2_Content,0,,,6,,,,,,,,0
NewslettersAndMagazinesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
NewslettersAndMagazinesRow2_Content,2,0,2000.0,301,,,,,,,,0
NewslettersRow2_Content,0,,,6,,,,,,,,0
NewslettersRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
NewslettersRow2_Content,2,0,2000.0,301,,,,,,,,0
ComputersTabletsRow2_Content,0,,,6,,,,,,,,0
ComputersTabletsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
ComputersTabletsRow2_Content,2,0,2000.0,301,,,,,,,,0
TablewareRow2_Content,0,,,6,,,,,,,,0
TablewareRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
TablewareRow2_Content,2,0,2000.0,301,,,,,,,,0
VegetablesRow2_Content,0,,,6,,,,,,,,0
VegetablesRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
VegetablesRow2_Content,2,0,2000.0,301,,,,,,,,0
VitaminsRow2_Content,0,,,6,,,,,,,,0
VitaminsRow2_Content,1,0,1000.0,105,,DisplayEms,1,,,,,0
VitaminsRow2_Content,2,0,2000.0,301,,,,,,,,0
ElectronicsRow3_Categories,0,,,6,,,,,,,,0
ElectronicsRow3_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
ElectronicsRow3_Categories,2,0,2000.0,302,,,,,,,,0
GroceryRow3_Categories,0,,,6,,,,,,,,0
