DOMInventory,,,,,,,,,,
PartNumber,OnlineStoreIdentifier,PhysicalStoreIdentifier,InventoryStatus,AvailableQuantity,AvailableQuantityUOM,AvailabilityTime,AvailabilityOffset,LastUpdate,ContextStoreIdentifier,Delete
AuroraWMDRS-110,,,AVL,1700,C62,,,,,
AuroraWMDRS-111,,,AVL,1100,C62,,,,,
AuroraWMDRS-112,,,AVL,2000,C62,,,,,
AuroraWMDRS-113,,,AVL,1900,C62,,,,,
AuroraWMDRS-114,,,AVL,1700,C62,,,,,
AuroraWMDRS-115,,,AVL,2600,C62,,,,,
AuroraWMDRS-116,,,AVL,2300,C62,,,,,
AuroraWMDRS-117,,,AVL,1600,C62,,,,,
AuroraWMDRS-118,,,AVL,2500,C62,,,,,
AuroraWMDRS-119,,,AVL,2600,C62,,,,,
AuroraWMDRS-120,,,AVL,2800,C62,,,,,
AuroraWMDRS-121,,,AVL,2200,C62,,,,,
AuroraWMDRS-122,,,AVL,2100,C62,,,,,
AuroraWMDRS-123,,,AVL,3000,C62,,,,,
AuroraWMDRS-124,,,AVL,1100,C62,,,,,
AuroraWMDRS-125,,,AVL,2700,C62,,,,,
AuroraWMDRS-126,,,AVL,2800,C62,,,,,
AuroraWMDRS-127,,,AVL,2300,C62,,,,,
AuroraWMDRS-128,,,AVL,2400,C62,,,,,
AuroraWMDRS-129,,,AVL,3000,C62,,,,,
AuroraWMDRS-130,,,AVL,2100,C62,,,,,
AuroraWMDRS-131,,,AVL,2500,C62,,,,,
AuroraWMDRS-132,,,AVL,1600,C62,,,,,
AuroraWMDRS-133,,,AVL,2800,C62,,,,,
AuroraWMDRS-134,,,AVL,2900,C62,,,,,
AuroraWMDRS-135,,,AVL,2700,C62,,,,,
AuroraWMDRS-136,,,AVL,2500,C62,,,,,
AuroraWMDRS-137,,,AVL,1100,C62,,,,,
AuroraWMDRS-138,,,AVL,1400,C62,,,,,
AuroraWMDRS-139,,,AVL,2600,C62,,,,,
AuroraWMDRS-140,,,AVL,2900,C62,,,,,
AuroraWMDRS-141,,,AVL,1600,C62,,,,,
AuroraWMDRS-142,,,AVL,1800,C62,,,,,
AuroraWMDRS-143,,,AVL,1500,C62,,,,,
AuroraWMDRS-144,,,AVL,2100,C62,,,,,
AuroraWMDRS-145,,,AVL,1700,C62,,,,,
AuroraWMDRS-146,,,AVL,1400,C62,,,,,
AuroraWMDRS-147,,,AVL,2100,C62,,,,,
AuroraWMDRS-148,,,AVL,1400,C62,,,,,
AuroraWMDRS-149,,,AVL,1100,C62,,,,,
AuroraWMDRS-150,,,AVL,2300,C62,,,,,
AuroraWMDRS-151,,,AVL,1400,C62,,,,,
AuroraWMDRS-152,,,AVL,2500,C62,,,,,
AuroraWMDRS-153,,,AVL,1900,C62,,,,,
AuroraWMDRS-154,,,AVL,2700,C62,,,,,
AuroraWMDRS-155,,,AVL,1100,C62,,,,,
AuroraWMDRS-156,,,AVL,3000,C62,,,,,
AuroraWMDRS-157,,,AVL,2800,C62,,,,,
AuroraWMDRS-158,,,AVL,1500,C62,,,,,
AuroraWMDRS-159,,,AVL,1200,C62,,,,,
AuroraWMDRS-160,,,AVL,2400,C62,,,,,
AuroraWMDRS-161,,,AVL,1100,C62,,,,,
AuroraWMDRS-162,,,AVL,1400,C62,,,,,
AuroraWMDRS-163,,,AVL,1000,C62,,,,,
AuroraWMDRS-164,,,AVL,1300,C62,,,,,
AuroraWMDRS-165,,,AVL,1200,C62,,,,,
AuroraWMDRS-166,,,AVL,1300,C62,,,,,
AuroraWMDRS-167,,,AVL,2000,C62,,,,,
AuroraWMDRS-168,,,AVL,1400,C62,,,,,
AuroraWMDRS-169,,,AVL,2700,C62,,,,,
AuroraWMDRS-170,,,AVL,1500,C62,,,,,
AuroraWMDRS-171,,,AVL,1400,C62,,,,,
AuroraWMDRS-172,,,AVL,1500,C62,,,,,
AuroraWMDRS-173,,,AVL,1400,C62,,,,,
AuroraWMDRS-174,,,AVL,2100,C62,,,,,
AuroraWMDRS-175,,,AVL,1100,C62,,,,,
AuroraWMDRS-176,,,AVL,1500,C62,,,,,
AuroraWMDRS-177,,,AVL,1800,C62,,,,,
AuroraWMDRS-178,,,AVL,1300,C62,,,,,
AuroraWMDRS-179,,,AVL,2300,C62,,,,,
AuroraWMDRS-180,,,AVL,1900,C62,,,,,
AuroraWMDRS-181,,,AVL,1400,C62,,,,,
AuroraWMDRS-182,,,AVL,1200,C62,,,,,
AuroraWMDRS-183,,,AVL,2900,C62,,,,,
AuroraWMDRS-184,,,AVL,2200,C62,,,,,
AuroraWMDRS-185,,,AVL,2700,C62,,,,,
AuroraWMDRS-186,,,AVL,2100,C62,,,,,
AuroraWMDRS-187,,,AVL,1400,C62,,,,,
AuroraWMDRS-188,,,AVL,1100,C62,,,,,
AuroraWMDRS-189,,,AVL,2500,C62,,,,,
AuroraWMDRS-190,,,AVL,2000,C62,,,,,
AuroraWMDRS-191,,,AVL,2700,C62,,,,,
AuroraWMDRS-192,,,AVL,1500,C62,,,,,
AuroraWMDRS-193,,,AVL,1500,C62,,,,,
AuroraWMDRS-194,,,AVL,2200,C62,,,,,
AuroraWMDRS-195,,,AVL,2600,C62,,,,,
AuroraWMDRS-196,,,AVL,2200,C62,,,,,
AuroraWMDRS-197,,,AVL,3000,C62,,,,,
AuroraWMDRS-198,,,AVL,1600,C62,,,,,
AuroraWMDRS-211,,,AVL,1800,C62,,,,,
AuroraWMDRS-212,,,AVL,2800,C62,,,,,
AuroraWMDRS-213,,,AVL,1800,C62,,,,,
AuroraWMDRS-214,,,AVL,1700,C62,,,,,
AuroraWMDRS-215,,,AVL,1400,C62,,,,,
AuroraWMDRS-216,,,AVL,2100,C62,,,,,
AuroraWMDRS-217,,,AVL,2600,C62,,,,,
AuroraWMDRS-218,,,AVL,2800,C62,,,,,
AuroraWMDRS-219,,,AVL,2100,C62,,,,,
AuroraWMDRS-220,,,AVL,1900,C62,,,,,
AuroraWMDRS-221,,,AVL,2200,C62,,,,,
AuroraWMDRS-222,,,AVL,2100,C62,,,,,
AuroraWMDRS-223,,,AVL,1800,C62,,,,,
AuroraWMDRS-224,,,AVL,1000,C62,,,,,
AuroraWMDRS-225,,,AVL,2200,C62,,,,,
AuroraWMDRS-226,,,AVL,2600,C62,,,,,
AuroraWMDRS-227,,,AVL,1900,C62,,,,,
AuroraWMDRS-228,,,AVL,1900,C62,,,,,
AuroraWMDRS-229,,,AVL,2800,C62,,,,,
AuroraWMDRS-230,,,AVL,1300,C62,,,,,
AuroraWMDRS-231,,,AVL,1000,C62,,,,,
AuroraWMDRS-232,,,AVL,2900,C62,,,,,
AuroraWMDRS-233,,,AVL,1000,C62,,,,,
AuroraWMDRS-234,,,AVL,2100,C62,,,,,
AuroraWMDRS-235,,,AVL,1500,C62,,,,,
AuroraWMDRS-236,,,AVL,2700,C62,,,,,
AuroraWMDRS-237,,,AVL,1700,C62,,,,,
AuroraWMDRS-238,,,AVL,1500,C62,,,,,
AuroraWMDRS-239,,,AVL,3000,C62,,,,,
AuroraWMDRS-240,,,AVL,2400,C62,,,,,
AuroraWMDRS-241,,,AVL,3000,C62,,,,,
AuroraWMDRS-242,,,AVL,2400,C62,,,,,
AuroraWMDRS-243,,,AVL,2900,C62,,,,,
AuroraWMDRS-244,,,AVL,2600,C62,,,,,
AuroraWMDRS-245,,,AVL,2500,C62,,,,,
AuroraWMDRS-246,,,AVL,1800,C62,,,,,
AuroraWMDRS-247,,,AVL,2300,C62,,,,,
AuroraWMDRS-248,,,AVL,2800,C62,,,,,
AuroraWMDRS-249,,,AVL,1200,C62,,,,,
AuroraWMDRS-250,,,AVL,3000,C62,,,,,
AuroraWMDRS-251,,,AVL,2100,C62,,,,,
AuroraWMDRS-252,,,AVL,1500,C62,,,,,
AuroraWMDRS-253,,,AVL,1000,C62,,,,,
AuroraWMDRS-254,,,AVL,2800,C62,,,,,
AuroraWMDRS-255,,,AVL,1900,C62,,,,,
AuroraWMDRS-256,,,AVL,2200,C62,,,,,
AuroraWMDRS-257,,,AVL,2200,C62,,,,,
AuroraWMDRS-258,,,AVL,2900,C62,,,,,
AuroraWMDRS-259,,,AVL,1700,C62,,,,,
AuroraWMDRS-260,,,AVL,1200,C62,,,,,
AuroraWMDRS-261,,,AVL,1300,C62,,,,,
AuroraWMDRS-262,,,AVL,1900,C62,,,,,
AuroraWMDRS-263,,,AVL,1700,C62,,,,,
AuroraWMDRS-264,,,AVL,1800,C62,,,,,
AuroraWMDRS-265,,,AVL,2700,C62,,,,,
AuroraWMDRS-266,,,AVL,2200,C62,,,,,
AuroraWMDRS-267,,,AVL,2000,C62,,,,,
AuroraWMDRS-268,,,AVL,2700,C62,,,,,
AuroraWMDRS-269,,,AVL,2900,C62,,,,,
AuroraWMDRS-283,,,AVL,1400,C62,,,,,
AuroraWMDRS-284,,,AVL,2100,C62,,,,,
AuroraWMDRS-285,,,AVL,2300,C62,,,,,
AuroraWMDRS-286,,,AVL,2700,C62,,,,,
AuroraWMDRS-287,,,AVL,1000,C62,,,,,
AuroraWMDRS-288,,,AVL,2300,C62,,,,,
AuroraWMDRS-289,,,AVL,2500,C62,,,,,
AuroraWMDRS-290,,,AVL,2200,C62,,,,,
AuroraWMDRS-291,,,AVL,1200,C62,,,,,
AuroraWMDRS-292,,,AVL,1700,C62,,,,,
AuroraWMDRS-293,,,AVL,2300,C62,,,,,
AuroraWMDRS-294,,,AVL,1100,C62,,,,,
AuroraWMDRS-295,,,AVL,1000,C62,,,,,
AuroraWMDRS-296,,,AVL,2500,C62,,,,,
AuroraWMDRS-297,,,AVL,2000,C62,,,,,
AuroraWMDRS-298,,,AVL,1200,C62,,,,,
AuroraWMDRS-299,,,AVL,2700,C62,,,,,
AuroraWMDRS-300,,,AVL,2800,C62,,,,,
AuroraWMDRS-301,,,AVL,2800,C62,,,,,
AuroraWMDRS-302,,,AVL,1300,C62,,,,,
AuroraWMDRS-303,,,AVL,2900,C62,,,,,
AuroraWMDRS-304,,,AVL,2000,C62,,,,,
AuroraWMDRS-305,,,AVL,2100,C62,,,,,
AuroraWMDRS-306,,,AVL,2700,C62,,,,,
AuroraWMDRS-307,,,AVL,1400,C62,,,,,
AuroraWMDRS-308,,,AVL,2200,C62,,,,,
AuroraWMDRS-309,,,AVL,2600,C62,,,,,
AuroraWMDRS-310,,,AVL,1900,C62,,,,,
AuroraWMDRS-311,,,AVL,3000,C62,,,,,
AuroraWMDRS-312,,,AVL,2800,C62,,,,,
AuroraWMDRS-313,,,AVL,2200,C62,,,,,
AuroraWMDRS-314,,,AVL,2700,C62,,,,,
AuroraWMDRS-315,,,AVL,2200,C62,,,,,
AuroraWMDRS-316,,,AVL,1500,C62,,,,,
AuroraWMDRS-317,,,AVL,2800,C62,,,,,
AuroraWMDRS-318,,,AVL,1300,C62,,,,,
AuroraWMDRS-319,,,AVL,2300,C62,,,,,
AuroraWMDRS-320,,,AVL,1200,C62,,,,,
AuroraWMDRS-321,,,AVL,1000,C62,,,,,
AuroraWMDRS-322,,,AVL,2700,C62,,,,,
AuroraWMDRS-323,,,AVL,2300,C62,,,,,
AuroraWMDRS-324,,,AVL,1100,C62,,,,,
AuroraWMDRS-325,,,AVL,1600,C62,,,,,
AuroraWMDRS-326,,,AVL,2600,C62,,,,,
AuroraWMDRS-327,,,AVL,2600,C62,,,,,
AuroraWMDRS-328,,,AVL,2300,C62,,,,,
AuroraWMDRS-329,,,AVL,3000,C62,,,,,
AuroraWMDRS-330,,,AVL,3000,C62,,,,,
AuroraWMDRS-331,,,AVL,2400,C62,,,,,
AuroraWMDRS-332,,,AVL,1200,C62,,,,,
AuroraWMDRS-333,,,AVL,2600,C62,,,,,
AuroraWMDRS-334,,,AVL,3000,C62,,,,,
AuroraWMDRS-335,,,AVL,1200,C62,,,,,
AuroraWMDRS-336,,,AVL,2400,C62,,,,,
AuroraWMDRS-337,,,AVL,1200,C62,,,,,
AuroraWMDRS-338,,,AVL,1500,C62,,,,,
AuroraWMDRS-339,,,AVL,2500,C62,,,,,
AuroraWMDRS-340,,,AVL,2100,C62,,,,,
AuroraWMDRS-341,,,AVL,1900,C62,,,,,
AuroraWMDRS-342,,,AVL,2900,C62,,,,,
AuroraWMDRS-343,,,AVL,1100,C62,,,,,
AuroraWMDRS-344,,,AVL,3000,C62,,,,,
AuroraWMDRS-345,,,AVL,1200,C62,,,,,
AuroraWMDRS-346,,,AVL,2500,C62,,,,,
AuroraWMDRS-347,,,AVL,2400,C62,,,,,
AuroraWMDRS-348,,,AVL,2100,C62,,,,,
AuroraWMDRS-349,,,AVL,1700,C62,,,,,
AuroraWMDRS-350,,,AVL,1900,C62,,,,,
AuroraWMDRS-351,,,AVL,2100,C62,,,,,
AuroraWMDRS-352,,,AVL,2200,C62,,,,,
AuroraWMDRS-353,,,AVL,1800,C62,,,,,
AuroraWMDRS-354,,,AVL,2900,C62,,,,,
AuroraWMDRS-355,,,AVL,2100,C62,,,,,
AuroraWMDRS-356,,,AVL,2300,C62,,,,,
AuroraWMDRS-357,,,AVL,1700,C62,,,,,
AuroraWMDRS-358,,,AVL,2900,C62,,,,,
AuroraWMDRS-359,,,AVL,1400,C62,,,,,
AuroraWMDRS-360,,,AVL,2000,C62,,,,,
AuroraWMDRS-361,,,AVL,1100,C62,,,,,
AuroraWMDRS-362,,,AVL,2400,C62,,,,,
AuroraWMDRS-363,,,AVL,1200,C62,,,,,
AuroraWMDRS-364,,,AVL,1400,C62,,,,,
AuroraWMDRS-365,,,AVL,1700,C62,,,,,
AuroraWMDRS-366,,,AVL,1400,C62,,,,,
AuroraWMDRS-367,,,AVL,2000,C62,,,,,
AuroraWMDRS-368,,,AVL,1700,C62,,,,,
AuroraWMDRS-369,,,AVL,2300,C62,,,,,
AuroraWMDRS-370,,,AVL,2800,C62,,,,,
AuroraWMDRS-371,,,AVL,1900,C62,,,,,
AuroraWMDRS-372,,,AVL,1600,C62,,,,,
AuroraWMDRS-373,,,AVL,1700,C62,,,,,
AuroraWMDRS-374,,,AVL,1800,C62,,,,,
AuroraWMDRS-375,,,AVL,1200,C62,,,,,
AuroraWMDRS-376,,,AVL,2700,C62,,,,,
AuroraWMDRS-377,,,AVL,1700,C62,,,,,
AuroraWMDRS-378,,,AVL,1800,C62,,,,,
AuroraWMDRS-379,,,AVL,2500,C62,,,,,
AuroraWMDRS-380,,,AVL,2700,C62,,,,,
AuroraWMDRS-381,,,AVL,2600,C62,,,,,
AuroraWMDRS-382,,,AVL,1300,C62,,,,,
AuroraWMDRS-383,,,AVL,1600,C62,,,,,
AuroraWMDRS-384,,,AVL,3000,C62,,,,,
AuroraWMDRS-385,,,AVL,2500,C62,,,,,
AuroraWMDRS-386,,,AVL,2500,C62,,,,,
AuroraWMDRS-387,,,AVL,1400,C62,,,,,
AuroraWMDRS-388,,,AVL,2900,C62,,,,,
AuroraWMDRS-389,,,AVL,1800,C62,,,,,
AuroraWMDRS-390,,,AVL,2600,C62,,,,,
AuroraWMDRS-391,,,AVL,1000,C62,,,,,
AuroraWMDRS-392,,,AVL,1000,C62,,,,,
AuroraWMDRS-393,,,AVL,2400,C62,,,,,
AuroraWMDRS-394,,,AVL,3000,C62,,,,,
AuroraWMDRS-395,,,AVL,1700,C62,,,,,
AuroraWMDRS-396,,,AVL,1000,C62,,,,,
AuroraWMDRS-397,,,AVL,2400,C62,,,,,
AuroraWMDRS-398,,,AVL,3000,C62,,,,,
AuroraWMDRS-399,,,AVL,1400,C62,,,,,
AuroraWMDRS-400,,,AVL,1000,C62,,,,,
AuroraWMDRS-401,,,AVL,1900,C62,,,,,
AuroraWMDRS-402,,,AVL,1900,C62,,,,,
AuroraWMDRS-403,,,AVL,2800,C62,,,,,
AuroraWMDRS-404,,,AVL,2900,C62,,,,,
AuroraWMDRS-405,,,AVL,2100,C62,,,,,
AuroraWMDRS-406,,,AVL,2500,C62,,,,,
AuroraWMDRS-407,,,AVL,1300,C62,,,,,
AuroraWMDRS-408,,,AVL,1000,C62,,,,,
AuroraWMDRS-409,,,AVL,2800,C62,,,,,
AuroraWMDRS-410,,,AVL,2900,C62,,,,,
AuroraWMDRS-411,,,AVL,1800,C62,,,,,
AuroraWMDRS-412,,,AVL,2100,C62,,,,,
AuroraWMDRS-413,,,AVL,2600,C62,,,,,
AuroraWMDRS-414,,,AVL,2600,C62,,,,,
AuroraWMDRS-415,,,AVL,1000,C62,,,,,
AuroraWMDRS-416,,,AVL,1900,C62,,,,,
AuroraWMDRS-417,,,AVL,2300,C62,,,,,
AuroraWMDRS-418,,,AVL,1800,C62,,,,,
AuroraWMDRS-419,,,AVL,3000,C62,,,,,
AuroraWMDRS-420,,,AVL,2300,C62,,,,,
AuroraWMDRS-421,,,AVL,1400,C62,,,,,
AuroraWMDRS-422,,,AVL,2900,C62,,,,,
AuroraWMDRS-423,,,AVL,1300,C62,,,,,
AuroraWMDRS-424,,,AVL,2400,C62,,,,,
AuroraWMDRS-425,,,AVL,2400,C62,,,,,
AuroraWMDRS-426,,,AVL,2300,C62,,,,,
AuroraWMDRS-427,,,AVL,2300,C62,,,,,
AuroraWMDRS-428,,,AVL,2300,C62,,,,,
AuroraWMDRS-429,,,AVL,1700,C62,,,,,
AuroraWMDRS-430,,,AVL,1500,C62,,,,,
AuroraWMDRS-431,,,AVL,2100,C62,,,,,
AuroraWMDRS-432,,,AVL,2400,C62,,,,,
AuroraWMDRS-433,,,AVL,2300,C62,,,,,
AuroraWMDRS-434,,,AVL,2800,C62,,,,,
AuroraWMDRS-435,,,AVL,2000,C62,,,,,
AuroraWMDRS-436,,,AVL,1400,C62,,,,,
AuroraWMDRS-437,,,AVL,2800,C62,,,,,
AuroraWMDRS-438,,,AVL,1500,C62,,,,,
AuroraWMDRS-439,,,AVL,1400,C62,,,,,
AuroraWMDRS-440,,,AVL,2300,C62,,,,,
AuroraWMDRS-441,,,AVL,2200,C62,,,,,
AuroraWMDRS-442,,,AVL,1000,C62,,,,,
AuroraWMDRS-443,,,AVL,2500,C62,,,,,
AuroraWMDRS-444,,,AVL,2000,C62,,,,,
AuroraWMDRS-445,,,AVL,2400,C62,,,,,
AuroraWMDRS-446,,,AVL,1500,C62,,,,,
AuroraWMDRS-447,,,AVL,1600,C62,,,,,
AuroraWMDRS-448,,,AVL,2900,C62,,,,,
AuroraWMDRS-449,,,AVL,2500,C62,,,,,
AuroraWMDRS-450,,,AVL,1500,C62,,,,,
AuroraWMDRS-451,,,AVL,1600,C62,,,,,
AuroraWMDRS-452,,,AVL,1700,C62,,,,,
AuroraWMDRS-453,,,AVL,1300,C62,,,,,
AuroraWMDRS-454,,,AVL,1900,C62,,,,,
AuroraWMDRS-455,,,AVL,1800,C62,,,,,
AuroraWMDRS-456,,,AVL,2500,C62,,,,,
AuroraWMDRS-457,,,AVL,3000,C62,,,,,
AuroraWMDRS-458,,,AVL,1800,C62,,,,,
AuroraWMDRS-459,,,AVL,1000,C62,,,,,
AuroraWMDRS-460,,,AVL,2600,C62,,,,,
AuroraWMDRS-461,,,AVL,2800,C62,,,,,
AuroraWMDRS-462,,,AVL,1200,C62,,,,,
AuroraWMDRS-463,,,AVL,3000,C62,,,,,
AuroraWMDRS-464,,,AVL,1600,C62,,,,,
AuroraWMDRS-465,,,AVL,2700,C62,,,,,
AuroraWMDRS-466,,,AVL,2500,C62,,,,,
AuroraWMDRS-467,,,AVL,1200,C62,,,,,
AuroraWMDRS-468,,,AVL,2000,C62,,,,,
AuroraWMDRS-469,,,AVL,1500,C62,,,,,
AuroraWMDRS-470,,,AVL,1800,C62,,,,,
AuroraWMDRS-471,,,AVL,2300,C62,,,,,
AuroraWMDRS-472,,,AVL,2600,C62,,,,,
AuroraWMDRS-473,,,AVL,3000,C62,,,,,
AuroraWMDRS-474,,,AVL,2600,C62,,,,,
AuroraWMDRS-475,,,AVL,1700,C62,,,,,
AuroraWMDRS-476,,,AVL,1500,C62,,,,,
AuroraWMDRS-477,,,AVL,1200,C62,,,,,
AuroraWMDRS-478,,,AVL,2400,C62,,,,,
AuroraWMDRS-479,,,AVL,2300,C62,,,,,
AuroraWMDRS-480,,,AVL,1500,C62,,,,,
AuroraWMDRS-481,,,AVL,1700,C62,,,,,
AuroraWMDRS-482,,,AVL,1200,C62,,,,,
AuroraWMDRS-483,,,AVL,1500,C62,,,,,
AuroraWMDRS-484,,,AVL,1200,C62,,,,,
AuroraWMDRS-485,,,AVL,1800,C62,,,,,
AuroraWMDRS-486,,,AVL,2700,C62,,,,,
AuroraWMDRS-487,,,AVL,1300,C62,,,,,
AuroraWMDRS-488,,,AVL,3000,C62,,,,,
AuroraWMDRS-489,,,AVL,2000,C62,,,,,
AuroraWMDRS-490,,,AVL,1700,C62,,,,,
AuroraWMDRS-491,,,AVL,1700,C62,,,,,
AuroraWMDRS-492,,,AVL,1500,C62,,,,,
AuroraWMDRS-493,,,AVL,1600,C62,,,,,
AuroraWMDRS-494,,,AVL,1400,C62,,,,,
AuroraWMDRS-495,,,AVL,1200,C62,,,,,
AuroraWMDRS-496,,,AVL,2600,C62,,,,,
AuroraWMDRS-497,,,AVL,2100,C62,,,,,
AuroraWMDRS-498,,,AVL,2500,C62,,,,,
AuroraWMDRS-499,,,AVL,1100,C62,,,,,
