MarketingContentAttachment
contentName,attachmentIdentifier,usageName,sequence,relationName,relationShortDescription,relationLongDescription,delete
Appliances_Atct_2,Appliances_Atct_2,NOUSAGE,0.0,Big Kitchen Savings,Big Kitchen Savings,,0
BathAcc_Atct_1,BathAcc_Atct_1,NOUSAGE,0.0,Cotton Towels,Cotton Towels,,0
BathAcc_Atct_2,BathAcc_Atct_2,NOUSAGE,0.0,Bathroom Accessories,Bathroom Accessories,,0
Components_Atct_1,Components_Atct_1,NOUSAGE,0.0,Custom Desktops,Custom Desktops,,0
Components_Atct_2,Components_Atct_2,NOUSAGE,0.0,Custom Laptops,Custom Laptops,,0
Desktops_Atct_1,Desktops_Atct_1,NOUSAGE,0.0,Custom Desktop,Custom Desktop,,0
Desktops_Atct_2,Desktops_Atct_2,NOUSAGE,0.0,Save on Printers,Save on Printers,,0
Dairy_Atct_1,Dairy_Atct_1,NOUSAGE,0.0,Creamy Camembert,Creamy Camembert,,0
Dairy_Atct_2,Dairy_Atct_2,NOUSAGE,0.0,Refreshing Milk,Refreshing Milk,,0
DesktopsAndLaptops,DesktopsAndLaptops,NOUSAGE,0.0,Desktops and Laptops,Desktops and Laptops,,0
GetReadyForSchool,GetReadyForSchool,NOUSAGE,0.0,Get Ready For School,Get Ready For School,,0
PowerOnTheGo,PowerOnTheGo,NOUSAGE,0.0,Power On The Go,Power On The Go,,0
Fruits_Atct_1,Fruits_Atct_1,NOUSAGE,0.0,Red and Delicious,Red and Delicious,,0
Fruits_Atct_2,Fruits_Atct_2,NOUSAGE,0.0,Bountiful Berries,Bountiful Berries,,0
Furniture_Atct_1,Furniture_Atct_1,NOUSAGE,0.0,Bedroom Furniture,Bedroom Furniture,,0
Furniture_Atct_2,Furniture_Atct_2,NOUSAGE,0.0,Save on Lighting,Save on Lighting,,0
FreeDelivery,FreeDelivery,NOUSAGE,0.0,Free Delivery,Free Delivery,,0
AtlanticLobster,AtlanticLobster,NOUSAGE,0.0,Atlantic Lobster,Atlantic Lobster,,0
CrispRomaine,CrispRomaine,NOUSAGE,0.0,Crisp Romaine,Crisp Romaine,,0
FreeConsultation,FreeConsultation,NOUSAGE,0.0,Free Consultation,Free Consultation,,0
NaturalVitamins,NaturalVitamins,NOUSAGE,0.0,Natural Vitamins,Natural Vitamins,,0
AutomaticRefills,AutomaticRefills,NOUSAGE,0.0,Automatic Refills,Automatic Refills,,0
LivingRoomSale,LivingRoomSale,NOUSAGE,0.0,Living Room Sale,Living Room Sale,,0
PerfectEveryTime,PerfectEveryTime,NOUSAGE,0.0,Perfect Every Time,Perfect Every Time,,0
SaveOnLighting,SaveOnLighting,NOUSAGE,0.0,Save On Lighting,Save On Lighting,,0
Kitchenware_Atct_1,Kitchenware_Atct_1,NOUSAGE,0.0,Stainless Cookware,Stainless Cookware,,0
Kitchenware_Atct_2,Kitchenware_Atct_2,NOUSAGE,0.0,Big Kitchen Savings,Big Kitchen Savings,,0
Laptops_Atct_1,Laptops_Atct_1,NOUSAGE,0.0,Custom Laptops,Custom Laptops,,0
Laptops_Atct_2,Laptops_Atct_2,NOUSAGE,0.0,Save on Accessories,Save on Accessories,,0
Lighting_Atct_1,Lighting_Atct_1,NOUSAGE,0.0,Save on Lighting,Save on Lighting,,0
Lighting_Atct_2,Lighting_Atct_2,NOUSAGE,0.0,Update Living Room,Update Living Room,,0
Magazines_Atct_1,Magazines_Atct_1,NOUSAGE,0.0,Photoritz Magazine,Photoritz Magazine,,0
Magazines_Atct_2,Magazines_Atct_2,NOUSAGE,0.0,SocietyTime Magazine,SocietyTime Magazine,,0
Meat_Atct_1,Meat_Atct_1,NOUSAGE,0.0,Honey Glazed Grilled,Honey Glazed Grilled,,0
Meat_Atct_2,Meat_Atct_2,NOUSAGE,0.0,Sashimi Salmon,Sashimi Salmon,,0
Medicines_Atct_1,Medicines_Atct_1,NOUSAGE,0.0,Automatic Refills,Automatic Refills,,0
Medicines_Atct_2,Medicines_Atct_2,NOUSAGE,0.0,All Natural Vitamins,All Natural Vitamins,,0
SubscribeAndSave,SubscribeAndSave,NOUSAGE,0.0,Subscribe and Save,Subscribe and Save,,0
SubscribeToNewsletters,SubscribeToNewsletters,NOUSAGE,0.0,Subscribe To NewsLetters,Subscribe To NewsLetters,,0
SubscribeToMagazines,SubscribeToMagazines,NOUSAGE,0.0,Econo Sense Magazine,Econo Sense Magazine,,0
Newsletters_Atct_1,Newsletters_Atct_1,NOUSAGE,0.0,Subscribe to Newsletters,Subscribe to Newsletters,,0
Newsletters_Atct_2,Newsletters_Atct_2,NOUSAGE,0.0,Delish Magazine,Delish Magazine,,0
Tablets_Atct_1,Tablets_Atct_1,NOUSAGE,0.0,Power on the Go,Power on the Go,,0
Tablets_Atct_2,Tablets_Atct_2,NOUSAGE,0.0,Get Ready for School,Get Ready for School,,0
Tableware_Atct_1,Tableware_Atct_1,NOUSAGE,0.0,Mix and Match,Mix and Match,,0
Tableware_Atct_2,Tableware_Atct_2,NOUSAGE,0.0,Mix and Match Plates,Mix and Match Plates,,0
Vegetables_Atct_1,Vegetables_Atct_1,NOUSAGE,0.0,Field Carrots,Field Carrots,,0
Vegetables_Atct_2,Vegetables_Atct_2,NOUSAGE,0.0,Packaged Salad Mix,Packaged Salad Mix,,0
Vitamins_Atct_1,Vitamins_Atct_1,NOUSAGE,0.0,All Natural Vitamins,All Natural Vitamins,,0
Vitamins_Atct_2,Vitamins_Atct_2,NOUSAGE,0.0,Flu Fighting Gel Caps,Flu Fighting Gel Caps,,0
